"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"The Use of AI in Software Engineering: A Synthetic Knowledge Synthesis of the Recent Research Literature","https://scispace.com/paper/the-use-of-ai-in-software-engineering-a-synthetic-knowledge-3943uvb59a","2024","Journal Article","Information","Peter Kokol","10.3390/info15060354","","Artificial intelligence (AI) has witnessed an exponential increase in use in various applications. Recently, the academic community started to research and inject new AI-based approaches to provide solutions to traditional software-engineering problems. However, a comprehensive and holistic understanding of the current status needs to be included. To close the above gap, synthetic knowledge synthesis was used to induce the research landscape of the contemporary research literature on the use of AI in software engineering. The synthesis resulted in 15 research categories and 5 themes—namely, natural language processing in software engineering, use of artificial intelligence in the management of the software development life cycle, use of machine learning in fault/defect prediction and effort estimation, employment of deep learning in intelligent software engineering and code management, and mining software repositories to improve software quality. The most productive country was China (n = 2042), followed by the United States (n = 1193), India (n = 934), Germany (n = 445), and Canada (n = 381). A high percentage (n = 47.4%) of papers were funded, showing the strong interest in this research topic. The convergence of AI and software engineering can significantly reduce the required resources, improve the quality, enhance the user experience, and improve the well-being of software developers. ","The use of AI in software engineering is a rapidly growing field with a high level of research activity. The research landscape includes 15 research categories and 5 themes, with China being the most productive country."
"The Use of AI in Software Engineering: Synthetic Knowledge Synthesis of Recent Research Literature","https://scispace.com/paper/the-use-of-ai-in-software-engineering-synthetic-knowledge-cnkshgybka","2024","Preprint","","Peter Kokol","10.20944/preprints202403.0556.v1","","Artificial intelligence (AI) has witnessed an exponential increase in its use in various applications. Recently, the academic community started to research and inject new AI-based approaches to provide solutions to traditional software engineering problems. However, a comprehensive and holistic understanding of the current status is missing. To close the above gap, synthetic knowledge synthesis was used to induce a research landscape of the contemporary research literature on the use of AI in software engineering. The synthesis resulted in 15 research categories and five themes, namely natural language processing in software engineering, use of artificial intelligence in the management of software development life cycle, use of machine learning in fault/defect prediction and effort estimation, employment of deep learning in intelligent software engineering and code management, and mining software repositories to improve software quality. The most productive country was China (n=2042), followed by the United States (n=1193), India (n=934), Germany (n=445), and Canada (n=381). A high percentage (n=47.4%) of papers were funded, showing a strong interest in this research topic. The convergence of AI and software engineering can significantly reduce needed resources, improve quality, increase user experience, and improve the well-being of software developers. ","The use of AI in software engineering is a burgeoning field with a high volume of research activity. The research landscape includes 15 categories and five themes, with China being the most productive country and a high percentage of papers being funded."
"Six-Tier Architecture for AI-Generated Software Development: A Large Language Models Approach","https://scispace.com/paper/six-tier-architecture-for-ai-generated-software-development-3rik5z4h","2023","Posted Content","","","10.21203/rs.3.rs-3086026/v1","https://scispace.com/pdf/six-tier-architecture-for-ai-generated-software-development-3rik5z4h.pdf","Abstract In the intersection of Artificial Intelligence (AI) and automated software engineering , there is an abundant potential to reimagine traditional practices and enhance operational efficiency. This paper presents the Six-Tier Architecture for AI-Generated Software Development, an innovative framework built upon the theoretical foundations of automated software engineering. This framework leverages large language models (LLMs) to perform tasks across the software development lifecycle, from high-level abstraction to detailed code generation, thereby systematically improving the automation level of software development. A key aspect of this architecture is the integrated iterative refinement process, which ensures system consistency and enables effective modifications in response to emerging changes. By utilizing the capabilities of LLMs in automated code generation , the Six-Tier Architecture offers a robust, flexible, and dynamic approach to AI-assisted software engineering, illustrating a substantial resilience to the intrinsic changes in software development requirements and processes. ","The Six-Tier Architecture for AI-Generated Software Development as mentioned in this paper is an innovative framework built upon the theoretical foundations of automated software engineering, which leverages large language models (LLMs) to perform tasks across the software development lifecycle, from high-level abstraction to detailed code generation."
"Improving Code Refinement for Code Review Via Input Reconstruction and Ensemble Learning","https://scispace.com/paper/improving-code-refinement-for-code-review-via-input-1w2khr5z0l","2023","Proceedings Article","","Jiawei Lu
Zhijie Tang
Zhongxin Liu","10.1109/apsec60848.2023.00026","","Code review is crucial for ensuring the quality of source code in software development. Automating the code review process is essential to save time and reduce costs, as manually reviewing code can be time-consuming and challenging for developers. Code refinement, an important task for automating code review, aims to automatically modify the code under review to address reviewers' comments. Previous research has fine-tuned pre-trained models like CodeT5 and CodeReviewer for code refinement, showing promising results. However, fine-tuning these models can make them forget the knowledge learned during pre-training and lead to suboptimal performance. To overcome this challenge, we employ an information retrieval method to enable the model to recall its learned knowledge. Furthermore, we propose using prompt templates to reconstruct the input and align the formats of the input data used during fine-tuning and pre-training, thus alleviating knowledge forgetting. Multiple models are created using the retrieval reconstruction and prompt reconstruction methods mentioned above, which are highly complementary. An ensemble learning method is employed to identify the most promising output from the outputs of these models. Our ensemble model achieves an Exact Match (EM) score of 36.32, surpassing the state-of-the-art CodeReviewer model by 19.3% and the popular GPT-3.5-Turbo model by 49.6%.","An information retrieval method is employed to enable the model to recall its learned knowledge and using prompt templates to reconstruct the input and align the formats of the input data used during fine-tuning and pre-training, thus alleviating knowledge forgetting."
"Breaking the Silence: the Threats of Using LLMs in Software Engineering","https://scispace.com/paper/breaking-the-silence-the-threats-of-using-llms-in-software-1bdld4tno6","2024","Journal Article","","June Sallou
Thomas Durieux
Annibale Panichella","10.1145/3639476.3639764","","Large Language Models (LLMs) have gained considerable traction within the Software Engineering (SE) community, impacting various SE tasks from code completion to test generation, from program repair to code summarization.Despite their promise, researchers must still be careful as numerous intricate factors can influence the outcomes of experiments involving LLMs.This paper initiates an open discussion on potential threats to the validity of LLM-based research including issues such as closed-source models, possible data leakage between LLM training data and research evaluation, and the reproducibility of LLM-based findings.In response, this paper proposes a set of guidelines tailored for SE researchers and Language Model (LM) providers to mitigate these concerns.The implications of the guidelines are illustrated using existing good practices followed by LLM providers and a practical example for SE researchers in the context of test case generation. ","The use of LLMs in SE poses potential threats to research validity due to closed-source models, data leakage, and reproducibility issues. Guidelines are proposed to mitigate these concerns."
"Breaking the Silence: the Threats of Using LLMs in Software Engineering","https://scispace.com/paper/breaking-the-silence-the-threats-of-using-llms-in-software-4sgrgd092s","2023","Preprint","","June Sallou
Thomas Durieux
Annibale Panichella","10.48550/arxiv.2312.08055","","Large Language Models (LLMs) have gained considerable traction within the Software Engineering (SE) community, impacting various SE tasks from code completion to test generation, from program repair to code summarization. Despite their promise, researchers must still be careful as numerous intricate factors can influence the outcomes of experiments involving LLMs. This paper initiates an open discussion on potential threats to the validity of LLM-based research including issues such as closed-source models, possible data leakage between LLM training data and research evaluation, and the reproducibility of LLM-based findings. In response, this paper proposes a set of guidelines tailored for SE researchers and Language Model (LM) providers to mitigate these concerns. The implications of the guidelines are illustrated using existing good practices followed by LLM providers and a practical example for SE researchers in the context of test case generation. ","The use of LLMs in SE poses potential threats to research validity due to closed-source models, data leakage, and reproducibility issues. Guidelines are proposed to mitigate these concerns."
"A systematic study in intelligent software engineering based on Large Language Model","https://scispace.com/paper/a-systematic-study-in-intelligent-software-engineering-based-2ocfbtp3fx","2024","Journal Article","Applied and Computational Engineering","Xiang Li","10.54254/2755-2721/73/20240408","","The application and research of Large Language Model (LLM) in intelligent software engineering have become a hot topic, offering strong theoretical significance and practical value. Researchers in this field have covered various stages of software engineering. However, there is still a lack of comprehensive and holistic research analysis that unifies the current research findings, which hinders the technological development of this field. Addressing this issue, this paper conducts a comprehensive survey of LLM research in the domain of software engineering. We summarize and extract five specific subfields, including LLM and prompts, code analysis, human-computer interaction, fault prediction, and other software engineering aspects. For these representative research directions, it examines significant research works, traces their research context, and discusses their development trends. This work provides a research foundation and contextual support for subsequent software engineering development based on large models. ","A comprehensive survey of LLM research in the domain of software engineering is conducted, including LLM and prompts, code analysis, human-computer interaction, fault prediction, and other software engineering aspects."
"A new approach for automatic test case generation from use case diagram using LLMs and prompt engineering","https://scispace.com/paper/a-new-approach-for-automatic-test-case-generation-from-use-71hnb5l1b5fq","2024","Proceedings Article","","Lahbib Naimi
El Mahi Bouziane
Mohamed Manaouch
Abdeslam Jakim","10.1109/iccsc62074.2024.10616548","","The automation of test case generation from UML diagrams is a growing field that aims to make the software development process smoother. This paper suggests a new framework that uses generative artificial intelligence (AI) to turn use case diagrams into test cases that can be executed. By getting information from the XML representation of use case diagrams, we can create detailed instructions that guide a generative AI model to make test cases for each use case scenario. This method not only makes test case creation easier but also ensures we cover everything well and accurately, which could make software products get to market faster. this approach shows how traditional software engineering methods and new AI techniques can work well together, giving us an idea of what automated software testing might look like in the future.","This paper proposes a novel framework using LLMs and prompt engineering to automatically generate test cases from use case diagrams, leveraging AI to create detailed instructions and improve software development efficiency and accuracy."
"Creating Thorough Tests for AI-Generated Code is Hard","https://scispace.com/paper/creating-thorough-tests-for-ai-generated-code-is-hard-2uzrsoyb7m","2023","Journal Article","","Shreya Singhal
Viraj Kumar","10.1145/3627217.3627238","","Before implementing a function, programmers are encouraged to write a suite of test cases that specify its intended behaviour on several inputs. A suite of tests is thorough if any buggy implementation fails at least one of these tests. We posit that as the proportion of code generated by Large Language Models (LLMs) grows, so must the ability of students to create test suites that are thorough enough to detect subtle bugs in such code. Our paper makes two contributions. First, we demonstrate how difficult it can be to create thorough tests for LLM-generated code by evaluating 27 test suites from a public dataset (EvalPlus). Second, by identifying deficiencies in these test suites, we propose strategies for improving the ability of students to develop thorough test suites for LLM-generated code.","It is demonstrated how difficult it can be to create thorough tests for LLM-generated code by evaluating 27 test suites from a public dataset (EvalPlus) and strategies for improving the ability of students to develop thorough test suites for LLM-generated code are proposed."
"“No Free Lunch” when using Large Language Models to Verify Self-Generated Programs","https://scispace.com/paper/no-free-lunch-when-using-large-language-models-to-verify-4k5ey5lc6cs0","2024","Journal Article","","Sol Zilberman
H. C. Betty Cheng","10.1109/icstw60967.2024.00018","","Large Language Models (LLMs) have shown great success in a wide range of text-generation tasks including the synthesis of code from natural language descriptions. As LLMbased techniques continue to grow in popularity, especially amongst entry-level developers, LLM-generated code has the potential to be deployed in a diverse set of application domains. While LLMs can generate syntactically correct code output, recent work has shown the presence of nonsensical and faulty reasoning in LLM-generated text. As such, overreliance on LLMs for software generation may potentially result in the deployment of faulty software leading to critical system failures. This study explores the capabilities of a single LLM to generate both software and corresponding test suites from the same initial program descriptions, which can be considered analogous to an individual developer coding and unit testing for a given piece of software. We present an empirical framework and evaluation methodology to assess the usefulness of LLM-generated test cases for verifying programs generated by the same LLM. Our findings indicate that LLMs frequently generate irrelevant tests that suffer from numerous quality concerns.","This study examines the limitations of using Large Language Models (LLMs) to generate code and test suites, finding that LLMs often produce irrelevant and low-quality tests that can lead to faulty software deployment and critical system failures."
