"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"A Strategic Coordination Framework of Small LLMs Matches Large LLMs in
  Data Synthesis","https://scispace.com/paper/http://arxiv.org/abs/2504.12322v2","2025","Preprint","","Xin Gao
Qizhi Pei
Zinan Tang
Yu Li
Honglin Lin
Jiang Wu
Lijun Wu
Conghui He","","http://arxiv.org/pdf/2504.12322v2","While data synthesis and distillation are promising strategies to enhance
small language models, current approaches heavily rely on Large Language Models
(LLMs), which suffer from high computational costs, environmental inefficiency,
and potential biases inherited from monolithic architectures. In contrast,
smaller LLMs are more accessible and sustainable, but their individual
capabilities often fall short in generating high-quality, diverse, and reliable
data. Inspired by collaborative human processes (e.g., peer review), we propose
a multiple small LLMs involved framework, GRA, that aggregates specialized
roles across small LLMs to iterative refinement and quality control typically
achieved by a single large LLM. In this collaborative framework, multiple small
LLMs assume distinct roles-Generator, Reviewer, and Adjudicator-to simulate a
peer-review-inspired data synthesis pipeline. The Generator proposes initial
data samples, the Reviewer critiques their quality and diversity, and the
Adjudicator resolves conflicts to finalize the output. By decomposing the
synthesis process into specialized sub-tasks, collaborative small LLMs can
achieve data-level parity with large LLM-based distillation. Through
experiments across multiple benchmarks, we demonstrate that GRA-produced data
matches or exceeds the quality of single large LLM outputs, e.g.,
Qwen-2.5-72B-Instruct. Our results challenge the necessity of monolithic large
models for high-quality data synthesis, advocating instead for strategic
coordination of smaller agents. Our datasets, models, and code are publicly
available at https://github.com/GX-XinGao/GRA."
"SynthesizRR: Generating Diverse Datasets with Retrieval Augmentation","https://scispace.com/paper/http://arxiv.org/abs/2405.10040v3","2024","Preprint","","Abhishek Divekar
Greg Durrett","","http://arxiv.org/pdf/2405.10040v3","It is often desirable to distill the capabilities of large language models
(LLMs) into smaller student models due to compute and memory constraints. One
way to do this for classification tasks is via dataset synthesis, which can be
accomplished by generating examples of each label from the LLM. Prior
approaches to synthesis use few-shot prompting, which relies on the LLM's
parametric knowledge to generate usable examples. However, this leads to issues
of repetition, bias towards popular entities, and stylistic differences from
human text. In this work, we propose Synthesize by Retrieval and Refinement
(SynthesizRR), which uses retrieval augmentation to introduce variety into the
dataset synthesis process: as retrieved passages vary, the LLM is seeded with
different content to generate its examples. We empirically study the synthesis
of six datasets, covering topic classification, sentiment analysis, tone
detection, and humor, requiring complex synthesis strategies. We find that
SynthesizRR greatly improves lexical and semantic diversity, similarity to
human-written text, and distillation performance, when compared to 32-shot
prompting and four prior approaches. We release our code to perform all steps
at https://github.com/amazon-science/synthesizrr"
"CodeARC: Benchmarking Reasoning Capabilities of LLM Agents for Inductive
  Program Synthesis","https://scispace.com/paper/http://arxiv.org/abs/2503.23145v2","2025","Preprint","","Anjiang Wei
Tarun Suresh
Jiannan Cao
Naveen Kannan
Yuheng Wu
Kai Yan
Thiago S. F. X. Teixeira
Ke Wang
Alex Aiken","","http://arxiv.org/pdf/2503.23145v2","Inductive program synthesis, or programming by example, requires synthesizing
functions from input-output examples that generalize to unseen inputs. While
large language model agents have shown promise in programming tasks guided by
natural language, their ability to perform inductive program synthesis is
underexplored. Existing evaluation protocols rely on static sets of examples
and held-out tests, offering no feedback when synthesized functions are
incorrect and failing to reflect real-world scenarios such as reverse
engineering. We propose CodeARC, the Code Abstraction and Reasoning Challenge,
a new evaluation framework where agents interact with a hidden target function
by querying it with new inputs, synthesizing candidate functions, and
iteratively refining their solutions using a differential testing oracle. This
interactive setting encourages agents to perform function calls and
self-correction based on feedback. We construct the first large-scale benchmark
for general-purpose inductive program synthesis, featuring 1114 functions.
Among 18 models evaluated, o3-mini performs best with a success rate of 52.7%,
highlighting the difficulty of this task. Fine-tuning LLaMA-3.1-8B-Instruct on
curated synthesis traces yields up to a 31% relative performance gain. CodeARC
provides a more realistic and challenging testbed for evaluating LLM-based
program synthesis and inductive reasoning. Our code, data, and models are
publicly available at https://github.com/Anjiang-Wei/CodeARC"
"Rethinking All Evidence: Enhancing Trustworthy Retrieval-Augmented
  Generation via Conflict-Driven Summarization","https://scispace.com/paper/http://arxiv.org/abs/2507.01281v1","2025","Preprint","","Juan Chen
Baolong Bi
Wei Zhang
Jingyan Sui
Xiaofei Zhu
Yuanzhuo Wang
Lingrui Mei
Shenghua Liu","","http://arxiv.org/pdf/2507.01281v1","Retrieval-Augmented Generation (RAG) enhances large language models (LLMs) by
integrating their parametric knowledge with external retrieved content.
However, knowledge conflicts caused by internal inconsistencies or noisy
retrieved content can severely undermine the generation reliability of RAG
systems.In this work, we argue that LLMs should rethink all evidence, including
both retrieved content and internal knowledge, before generating responses.We
propose CARE-RAG (Conflict-Aware and Reliable Evidence for RAG), a novel
framework that improves trustworthiness through Conflict-Driven Summarization
of all available evidence.CARE-RAG first derives parameter-aware evidence by
comparing parameter records to identify diverse internal perspectives. It then
refines retrieved evidences to produce context-aware evidence, removing
irrelevant or misleading content. To detect and summarize conflicts, we distill
a 3B LLaMA3.2 model to perform conflict-driven summarization, enabling reliable
synthesis across multiple sources.To further ensure evaluation integrity, we
introduce a QA Repair step to correct outdated or ambiguous benchmark
answers.Experiments on revised QA datasets with retrieval data show that
CARE-RAG consistently outperforms strong RAG baselines, especially in scenarios
with noisy or conflicting evidence."
"Self-Improving Language Models for Evolutionary Program Synthesis: A
  Case Study on ARC-AGI","https://scispace.com/paper/http://arxiv.org/abs/2507.14172v1","2025","Preprint","","Julien Pourcel
Cédric Colas
Pierre-Yves Oudeyer","","http://arxiv.org/pdf/2507.14172v1","Many program synthesis tasks prove too challenging for even state-of-the-art
language models to solve in single attempts. Search-based evolutionary methods
offer a promising alternative by exploring solution spaces iteratively, but
their effectiveness remain limited by the fixed capabilities of the underlying
generative model.
  We propose SOAR, a method that learns program synthesis by integrating
language models into a self-improving evolutionary loop.
  SOAR alternates between (1) an evolutionary search that uses an LLM to sample
and refine candidate solutions, and (2) a hindsight learning phase that
converts search attempts into valid problem-solution pairs used to fine-tune
the LLM's sampling and refinement capabilities\, -- \,enabling increasingly
effective search in subsequent iterations.
  On the challenging ARC-AGI benchmark, SOAR achieves significant performance
gains across model scales and iterations, leveraging positive transfer between
the sampling and refinement finetuning tasks. These improvements carry over to
test-time adaptation, enabling SOAR to solve 52\% of the public test set. Our
code is open-sourced at: https://github.com/flowersteam/SOAR"
"Code Repair with LLMs gives an Exploration-Exploitation Tradeoff","https://scispace.com/paper/http://arxiv.org/abs/2405.17503v3","2024","Preprint","","Hao Tang
Keya Hu
Jin Peng Zhou
Sicheng Zhong
Wei-Long Zheng
Xujie Si
Kevin Ellis","","http://arxiv.org/pdf/2405.17503v3","Iteratively improving and repairing source code with large language models
(LLMs), known as refinement, has emerged as a popular way of generating
programs that would be too complex to construct in one shot. Given a bank of
test cases, together with a candidate program, an LLM can improve that program
by being prompted with failed test cases. But it remains an open question how
to best iteratively refine code, with prior work employing simple greedy or
breadth-first strategies. We show here that refinement exposes an
explore-exploit tradeoff: exploit by refining the program that passes the most
test cases, or explore by refining a lesser considered program. We frame this
as an arm-acquiring bandit problem, which we solve with Thompson Sampling. The
resulting LLM-based program synthesis algorithm is broadly applicable: Across
loop invariant synthesis, visual reasoning puzzles, and competition programming
problems, we find that our new method can solve more problems using fewer
language model calls."
"Structured Program Synthesis using LLMs: Results and Insights from the
  IPARC Challenge","https://scispace.com/paper/http://arxiv.org/abs/2506.13820v1","2025","Preprint","","Shraddha Surana
Ashwin Srinivasan
Michael Bain","","http://arxiv.org/pdf/2506.13820v1","The IPARC Challenge, inspired by ARC, provides controlled program synthesis
tasks over synthetic images to evaluate automatic program construction,
focusing on sequence, selection, and iteration. This set of 600 tasks has
resisted automated solutions. This paper presents a structured inductive
programming approach with LLMs that successfully solves tasks across all IPARC
categories. The controlled nature of IPARC reveals insights into LLM-based code
generation, including the importance of prior structuring, LLMs' ability to aid
structuring (requiring human refinement), the need to freeze correct code, the
efficiency of code reuse, and how LLM-generated code can spark human
creativity. These findings suggest valuable mechanisms for human-LLM
collaboration in tackling complex program synthesis."
"Program Synthesis via Test-Time Transduction","https://scispace.com/paper/http://arxiv.org/abs/2509.17393v3","2025","Preprint","","Kang-il Lee
Jahyun Koo
Seunghyun Yoon
Minbeom Kim
Hyukhun Koh
Dongryeol Lee
Kyomin Jung","","http://arxiv.org/pdf/2509.17393v3","We introduce transductive program synthesis, a new formulation of the program
synthesis task that explicitly leverages test inputs during synthesis. While
prior approaches to program synthesis--whether based on natural language
descriptions or input-output examples--typically aim to generalize from
training examples, they often struggle with robustness, especially in
real-world settings where training examples are limited and test inputs involve
various edge cases. To address this, we propose a novel framework that improves
robustness by treating synthesis as an active learning over a finite hypothesis
class defined by programs' outputs. We use an LLM to predict outputs for
selected test inputs and eliminate inconsistent hypotheses, where the inputs
are chosen via a greedy maximin algorithm to minimize the number of LLM queries
required. We evaluate our approach on four benchmarks: Playgol, MBPP+, 1D-ARC,
and programmatic world modeling on MiniGrid. We demonstrate that our method
significantly improves program synthesis in both accuracy and efficiency. We
release our code at https://github.com/klee972/SYNTRA."
"Dataset Distillation via Curriculum Data Synthesis in Large Data Era","https://scispace.com/paper/http://arxiv.org/abs/2311.18838v2","2023","Preprint","","Zeyuan Yin
Zhiqiang Shen","","http://arxiv.org/pdf/2311.18838v2","Dataset distillation or condensation aims to generate a smaller but
representative subset from a large dataset, which allows a model to be trained
more efficiently, meanwhile evaluating on the original testing data
distribution to achieve decent performance. Previous decoupled methods like
SRe$^2$L simply use a unified gradient update scheme for synthesizing data from
Gaussian noise, while, we notice that the initial several update iterations
will determine the final outline of synthesis, thus an improper gradient update
strategy may dramatically affect the final generation quality. To address this,
we introduce a simple yet effective global-to-local gradient refinement
approach enabled by curriculum data augmentation ($\texttt{CDA}$) during data
synthesis. The proposed framework achieves the current published highest
accuracy on both large-scale ImageNet-1K and 21K with 63.2% under IPC (Images
Per Class) 50 and 36.1% under IPC 20, using a regular input resolution of
224$\times$224 with faster convergence speed and less synthetic time. The
proposed model outperforms the current state-of-the-art methods like SRe$^2$L,
TESLA, and MTT by more than 4% Top-1 accuracy on ImageNet-1K/21K and for the
first time, reduces the gap to its full-data training counterparts to less than
absolute 15%. Moreover, this work represents the inaugural success in dataset
distillation on the larger-scale ImageNet-21K dataset under the standard
224$\times$224 resolution. Our code and distilled ImageNet-21K dataset of 20
IPC, 2K recovery budget are available at
https://github.com/VILA-Lab/SRe2L/tree/main/CDA."
"The Program Testing Ability of Large Language Models for Code","https://scispace.com/paper/http://arxiv.org/abs/2310.05727v1","2023","Preprint","","Weimin Xiong
Yiwen Guo
Hao Chen","","http://arxiv.org/pdf/2310.05727v1","Recent development of large language models (LLMs) for code like CodeX and
CodeT5+ demonstrates tremendous promise in achieving code intelligence. Their
ability of synthesizing code that completes a program for performing a
pre-defined task has been intensively tested and verified on benchmark datasets
including HumanEval and MBPP. Yet, evaluation of these LLMs from more
perspectives (than just program synthesis) is also anticipated, considering
their broad scope of applications in software engineering. In this paper, we
explore the ability of LLMs for testing programs/code. By performing thorough
analyses of recent LLMs for code in program testing, we show a series of
intriguing properties of these models and demonstrate how program testing
ability of LLMs can be improved. Following recent work which utilizes generated
test cases to enhance program synthesis, we further leverage our findings in
improving the quality of the synthesized programs and show +11.77% and +4.22%
higher code pass rates on HumanEval+ comparing with the GPT-3.5-turbo baseline
and the recent state-of-the-art, respectively."
