Paper Title,Relevance,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Abstract
"RLEF: Grounding Code LLMs in Execution Feedback with Reinforcement
  Learning","- **Relevance Score:** 70/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses multiple test sets and iterative code drafts to guide generation, preserves correctness via held‑out tests, resolves limited conflicts through feedback loops, and refines code across several LLM attempts.",https://scispace.com/paper/rlef-grounding-code-llms-in-execution-feedback-with-23ffednt2yja,2024,Journal Article,"","Jonas Gehring
Kangfeng Zheng
Jade Copet
Vegard Mella
Tal Cohen
Gabriel Synnaeve",10.48550/arxiv.2410.02089,https://scispace.compdf/rlef-grounding-code-llms-in-execution-feedback-with-23ffednt2yja.pdf,"Large language models (LLMs) deployed as agents solve user-specified tasks over multiple steps while keeping the required manual engagement to a minimum. Crucially, such LLMs need to ground their generations in any feedback obtained to reliably achieve desired outcomes. We propose an end-to-end reinforcement learning method for teaching models to leverage execution feedback in the realm of code synthesis, where state-of-the-art LLMs struggle to improve code iteratively compared to independent sampling. We benchmark on competitive programming tasks, where we achieve new start-of-the art results with both small (8B parameters) and large (70B) models while reducing the amount of samples required by an order of magnitude. Our analysis of inference-time behavior demonstrates that our method produces LLMs that effectively leverage automatic feedback over multiple steps. "
MapCoder: Multi-Agent Code Generation for Competitive Problem Solving,"- **Relevance Score:** 70/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses retrieval, planning, coding, and debugging agents to combine multiple LLM outputs; ensures generated code passes original sample I/O, preserving intent; limited explicit conflict‑resolution mechanisms; iteratively refines drafts via LLM agents.",https://scispace.com/paper/mapcoder-multi-agent-code-generation-for-competitive-problem-3l9olvmis9,2024,Preprint,"","M.A. Islam
Mohammed Eunus Ali
Md Rizwan Parvez",10.48550/arxiv.2405.11403,https://scispace.compdf/mapcoder-multi-agent-code-generation-for-competitive-problem-3l9olvmis9.pdf,"Code synthesis, which requires a deep understanding of complex natural language problem descriptions, generation of code instructions for complex algorithms and data structures, and the successful execution of comprehensive unit tests, presents a significant challenge. While large language models (LLMs) demonstrate impressive proficiency in natural language processing, their performance in code generation tasks remains limited. In this paper, we introduce a new approach to code generation tasks leveraging multi-agent prompting that uniquely replicates the full cycle of program synthesis as observed in human developers. Our framework, MapCoder, consists of four LLM agents specifically designed to emulate the stages of this cycle: recalling relevant examples, planning, code generation, and debugging. After conducting thorough experiments, with multiple LLM ablations and analyses across eight challenging competitive problem-solving and program synthesis benchmarks, MapCoder showcases remarkable code generation capabilities, achieving new state-of-the-art results (pass@1) on HumanEval (93.9%), MBPP (83.1%), APPS (22.0%), CodeContests (28.5%), and xCodeEval (45.3%). Moreover, our method consistently delivers superior performance across various programming languages and varying problem difficulties. We open-source our framework at https://github.com/Md-Ashraful-Pramanik/MapCoder. "
"Seed-CTS: Unleashing the Power of Tree Search for Superior Performance
  in Competitive Coding Tasks","- **Relevance Score:** 68/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses token-level MCTS to explore many LLM drafts, selects consistent paths, refines code iteratively, and checks correctness via tests, though intent preservation is implicit.",https://scispace.com/paper/seed-cts-unleashing-the-power-of-tree-search-for-superior-7lnxcuypu9h2,2024,Journal Article,"","Hao Wang
Boyi Liu
Yufeng Zhang
Jie Chen",10.48550/arxiv.2412.12544,https://scispace.compdf/seed-cts-unleashing-the-power-of-tree-search-for-superior-7lnxcuypu9h2.pdf,"Competition-level code generation tasks pose significant challenges for current state-of-the-art large language models (LLMs). For example, on the LiveCodeBench-Hard dataset, models such as O1-Mini and O1-Preview achieve pass@1 rates of only 0.366 and 0.143, respectively. While tree search techniques have proven effective in domains like mathematics and general coding, their potential in competition-level code generation remains under-explored. In this work, we propose a novel token-level tree search method specifically designed for code generation. Leveraging Qwen2.5-Coder-32B-Instruct, our approach achieves a pass rate of 0.305 on LiveCodeBench-Hard, surpassing the pass@100 performance of GPT4o-0513 (0.245). Furthermore, by integrating Chain-of-Thought (CoT) prompting, we improve our method's performance to 0.351, approaching O1-Mini's pass@1 rate. To ensure reproducibility, we report the average number of generations required per problem by our tree search method on the test set. Our findings underscore the potential of tree search to significantly enhance performance on competition-level code generation tasks. This opens up new possibilities for large-scale synthesis of challenging code problems supervised fine-tuning (SFT) data, advancing competition-level code generation tasks. "
Improving Code Refinement for Code Review Via Input Reconstruction and Ensemble Learning,"- **Relevance Score:** 67/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses multiple LLM-generated code drafts and ensemble selection, directly matching multi-source synthesis and LLM refinement; retains functionality but lacks explicit intent preservation or conflict resolution mechanisms.",https://scispace.com/paper/improving-code-refinement-for-code-review-via-input-1w2khr5z0l,2023,Proceedings Article,"","Jiawei Lu
Zhijie Tang
Zhongxin Liu",10.1109/apsec60848.2023.00026,"","Code review is crucial for ensuring the quality of source code in software development. Automating the code review process is essential to save time and reduce costs, as manually reviewing code can be time-consuming and challenging for developers. Code refinement, an important task for automating code review, aims to automatically modify the code under review to address reviewers' comments. Previous research has fine-tuned pre-trained models like CodeT5 and CodeReviewer for code refinement, showing promising results. However, fine-tuning these models can make them forget the knowledge learned during pre-training and lead to suboptimal performance. To overcome this challenge, we employ an information retrieval method to enable the model to recall its learned knowledge. Furthermore, we propose using prompt templates to reconstruct the input and align the formats of the input data used during fine-tuning and pre-training, thus alleviating knowledge forgetting. Multiple models are created using the retrieval reconstruction and prompt reconstruction methods mentioned above, which are highly complementary. An ensemble learning method is employed to identify the most promising output from the outputs of these models. Our ensemble model achieves an Exact Match (EM) score of 36.32, surpassing the state-of-the-art CodeReviewer model by 19.3% and the popular GPT-3.5-Turbo model by 49.6%."
"Can Pre-trained Language Models be Used to Resolve Textual and Semantic
  Merge Conflicts?","- **Relevance Score:** 66/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses few‑shot prompts with multiple examples to guide LM fixes; ensures semantic correctness of merged code; directly tackles detection and resolution of merge conflicts; does not refine multiple AI‑generated drafts, only single‑prompt generation.",https://scispace.com/paper/http://arxiv.org/abs/2111.11904v1,2021,Preprint,"","Jialu Zhang
Todd Mytkowicz
Mike Kaufman
Ruzica Piskac
Shuvendu K. Lahiri","",http://arxiv.org/pdf/2111.11904v1,"Program merging is standard practice when developers integrate their
individual changes to a common code base. When the merge algorithm fails, this
is called a merge conflict. The conflict either manifests in textual merge
conflicts where the merge fails to produce code, or semantic merge conflicts
where the merged code results in compiler or test breaks. Resolving these
conflicts for large code projects is expensive because it requires developers
to manually identify the sources of conflict and correct them.
  In this paper, we explore the feasibility of automatically repairing merge
conflicts (both textual and semantic) using k-shot learning with large neural
language models (LM) such as GPT-3. One of the challenges in leveraging such
language models is to fit the examples and the queries within a small prompt
(2048 tokens). We evaluate LMs and k-shot learning for two broad applications:
(a) textual and semantic merge conflicts for a divergent fork Microsoft Edge,
and (b) textual merge conflicts for a large number of JavaScript projects in
GitHub. Our results are mixed: one one-hand, LMs provide the state-of-the-art
(SOTA) performance on semantic merge conflict resolution for Edge compared to
earlier symbolic approaches; on the other hand, LMs do not yet obviate the
benefits of fine-tuning neural models (when sufficient data is available) or
the design of special purpose domain-specific languages (DSL) for restricted
patterns for program synthesis."
"Software Testing with Large Language Model: Survey, Landscape, and Vision","- **Relevance Score:** 64/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses search‑based test generation plus LLM suggestions to fuse multiple test sources, aims to keep coverage and assertions, iteratively fixes compilation conflicts, and applies LLM refinement on generated tests, though not explicitly handling multiple draft versions.",https://scispace.com/paper/software-testing-with-large-language-model-survey-landscape-3tu90ids,2023,Peer Review,"","Junjie Wang
Yuchao Huang
Chunyang Chen
Zhe Liu
Song Wang
Qing Wang","",https://scispace.compdf/software-testing-with-large-language-model-survey-landscape-3tu90ids.pdf,"Pre-trained large language models (LLMs) have recently emerged as a breakthrough technology in natural language processing and artificial intelligence, with the ability to handle large-scale datasets and exhibit remarkable performance across a wide range of tasks. Meanwhile, software testing is a crucial undertaking that serves as a cornerstone for ensuring the quality and reliability of software products. As the scope and complexity of software systems continue to grow, the need for more effective software testing techniques becomes increasingly urgent, and making it an area ripe for innovative approaches such as the use of LLMs. This paper provides a comprehensive review of the utilization of LLMs in software testing. It analyzes 52 relevant studies that have used LLMs for software testing, from both the software testing and LLMs perspectives. The paper presents a detailed discussion of the software testing tasks for which LLMs are commonly used, among which test case preparation and program repair are the most representative ones. It also analyzes the commonly used LLMs, the types of prompt engineering that are employed, as well as the accompanied techniques with these LLMs. It also summarizes the key challenges and potential opportunities in this direction. This work can serve as a roadmap for future research in this area, highlighting potential avenues for exploration, and identifying gaps in our current understanding of the use of LLMs in software testing."
Autocoderover: Autonomous program improvement,"- **Relevance Score:** 62/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Highly relevant: merges LLM‑generated patches with code‑search results and test‑based fault localization, preserving intent via test suites and evaluating on SWE‑bench. Somewhat relevant: offers limited conflict handling, no explicit resolution.",https://scispace.com/paper/autocoderover-autonomous-program-improvement-4rn0me1lkw,2024,Journal Article,arXiv.org,"Yuntong Zhang
Haifeng Ruan
Zhiyu Fan
Abhik Roychoudhury",10.48550/arxiv.2404.05427,https://dl.acm.org/doi/pdf/10.1145/3650212.3680384,"Researchers have made significant progress in automating the software development process in the past decades. Recent progress in Large Language Models (LLMs) has significantly impacted the development process, where developers can use LLM-based programming assistants to achieve automated coding. Nevertheless software engineering involves the process of program improvement apart from coding, specifically to enable software maintenance (e.g. bug fixing) and software evolution (e.g. feature additions). In this paper, we propose an automated approach for solving GitHub issues to autonomously achieve program improvement. In our approach called AutoCodeRover, LLMs are combined with sophisticated code search capabilities, ultimately leading to a program modification or patch. In contrast to recent LLM agent approaches from AI researchers and practitioners, our outlook is more software engineering oriented. We work on a program representation (abstract syntax tree) as opposed to viewing a software project as a mere collection of files. Our code search exploits the program structure in the form of classes/methods to enhance LLM's understanding of the issue's root cause, and effectively retrieve a context via iterative search. The use of spectrum based fault localization using tests, further sharpens the context, as long as a test-suite is available. Experiments on SWE-bench-lite which consists of 300 real-life GitHub issues show increased efficacy in solving GitHub issues (22-23% on SWE-bench-lite). On the full SWE-bench consisting of 2294 GitHub issues, AutoCodeRover solved around 16% of issues, which is higher than the efficacy of the recently reported AI software engineer Devin from Cognition Labs, while taking time comparable to Devin. We posit that our workflow enables autonomous software engineering, where, in future, auto-generated code from LLMs can be autonomously improved."
"ASSERTIFY: Utilizing Large Language Models to Generate Assertions for
  Production Code","- **Relevance Score:** 54/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses retrieved similar tests as multiple inputs and adapts them with LLMs, ensuring compiled, semantically aligned assertions; adapts token discrepancies but lacks explicit multi‑draft LLM refinement.",https://scispace.com/paper/assertify-utilizing-large-language-models-to-generate-1z8xm7j9j875,2024,Journal Article,"","Mohammad Jalili Torkamani
Akshat Raj Sharma
Nikita Mehrotra
Rahul Purandare",10.48550/arxiv.2411.16927,https://scispace.compdf/assertify-utilizing-large-language-models-to-generate-1z8xm7j9j875.pdf,"Production assertions are statements embedded in the code to help developers validate their assumptions about the code. They assist developers in debugging, provide valuable documentation, and enhance code comprehension. Current research in this area primarily focuses on assertion generation for unit tests using techniques, such as static analysis and deep learning. While these techniques have shown promise, they fall short when it comes to generating production assertions, which serve a different purpose. This preprint addresses the gap by introducing Assertify, an automated end-to-end tool that leverages Large Language Models (LLMs) and prompt engineering with few-shot learning to generate production assertions. By creating context-rich prompts, the tool emulates the approach developers take when creating production assertions for their code. To evaluate our approach, we compiled a dataset of 2,810 methods by scraping 22 mature Java repositories from GitHub. Our experiments demonstrate the effectiveness of few-shot learning by producing assertions with an average ROUGE-L score of 0.526, indicating reasonably high structural similarity with the assertions written by developers. This research demonstrates the potential of LLMs in automating the generation of production assertions that resemble the original assertions. "
RLTF: Reinforcement Learning from Unit Test Feedback,"- **Relevance Score:** 53/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses RL with fine-grained unit test feedback to improve code generation and preserve functional intent; lacks explicit multi‑source synthesis, draft aggregation, and conflict‑resolution mechanisms.",https://scispace.com/paper/http://arxiv.org/abs/2307.04349v2,2023,Preprint,"","Jiate Liu
Yiqin Zhu
Kaiwen Xiao
Qiang Fu
Xiao Han
Wei Yang
Deheng Ye","",http://arxiv.org/pdf/2307.04349v2,"The goal of program synthesis, or code generation, is to generate executable
code based on given descriptions. Recently, there has been an increasing number
of studies employing reinforcement learning (RL) to improve the performance of
large language models (LLMs) for code. However, current representative works
either rely solely on offline frameworks, limiting the exploration of new
sample spaces, or fall short in the utilization of unit test signals, not
accounting for specific error locations within the code. To address these
issues, we propose RLTF, i.e., Reinforcement Learning from Unit Test Feedback,
a novel online RL framework with unit test feedback of multi-granularity for
refining code LLMs. Our approach generates data in real-time during training
and simultaneously utilizes fine-grained feedback signals to guide the model
towards producing higher-quality code. Extensive experiments show that RLTF
achieves state-of-the-art performance on the APPS and the MBPP benchmarks. Our
code is available at: https://github.com/Zyq-scut/RLTF."
"A Strategic Coordination Framework of Small LLMs Matches Large LLMs in
  Data Synthesis","- **Relevance Score:** 51/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses coordinated small LLMs to aggregate outputs and resolve conflicts via an Adjudicator, but does not preserve original input intent, lacks SE benchmark tests, and offers no formal analysis.",https://scispace.com/paper/http://arxiv.org/abs/2504.12322v2,2025,Preprint,"","Xin Gao
Qizhi Pei
Zinan Tang
Yu Li
Honglin Lin
Jiang Wu
Lijun Wu
Conghui He","",http://arxiv.org/pdf/2504.12322v2,"While data synthesis and distillation are promising strategies to enhance
small language models, current approaches heavily rely on Large Language Models
(LLMs), which suffer from high computational costs, environmental inefficiency,
and potential biases inherited from monolithic architectures. In contrast,
smaller LLMs are more accessible and sustainable, but their individual
capabilities often fall short in generating high-quality, diverse, and reliable
data. Inspired by collaborative human processes (e.g., peer review), we propose
a multiple small LLMs involved framework, GRA, that aggregates specialized
roles across small LLMs to iterative refinement and quality control typically
achieved by a single large LLM. In this collaborative framework, multiple small
LLMs assume distinct roles-Generator, Reviewer, and Adjudicator-to simulate a
peer-review-inspired data synthesis pipeline. The Generator proposes initial
data samples, the Reviewer critiques their quality and diversity, and the
Adjudicator resolves conflicts to finalize the output. By decomposing the
synthesis process into specialized sub-tasks, collaborative small LLMs can
achieve data-level parity with large LLM-based distillation. Through
experiments across multiple benchmarks, we demonstrate that GRA-produced data
matches or exceeds the quality of single large LLM outputs, e.g.,
Qwen-2.5-72B-Instruct. Our results challenge the necessity of monolithic large
models for high-quality data synthesis, advocating instead for strategic
coordination of smaller agents. Our datasets, models, and code are publicly
available at https://github.com/GX-XinGao/GRA."
An empirical evaluation of using large language models for automated unit test generation,"- **Relevance Score:** 48/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Combines function signatures, implementations, and documentation examples to prompt LLMs; targets coverage but does not explicitly preserve original test intent; lacks conflict‑resolution mechanisms; uses re‑prompting to refine failing tests, showing limited multi‑draft refinement.",https://scispace.com/paper/an-empirical-evaluation-of-using-large-language-models-for-4u07o39c3f,2024,Journal Article,IEEE Transactions on Software Engineering,"Max Schäfer
Sarah Nadi
Aryaz Eghbali
Frank Tip",10.1109/tse.2023.3334955,https://arxiv.org/pdf/2302.06527,"Unit tests play a key role in ensuring the correctness of software. However, manually creating unit tests is a laborious task, motivating the need for automation. Large Language Models (LLMs) have recently been applied to various aspects of software development, including their suggested use for automated generation of unit tests, but while requiring additional training or few-shot learning on examples of existing tests. This paper presents a large-scale empirical evaluation on the effectiveness of LLMs for automated unit test generation without requiring additional training or manual effort. Concretely, we consider an approach where the LLM is provided with prompts that include the signature and implementation of a function under test, along with usage examples extracted from documentation. Furthermore, if a generated test fails, our approach attempts to generate a new test that fixes the problem by re-prompting the model with the failing test and error message. We implement our approach in T <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">est</small> P <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">ilot</small> , an adaptive LLM-based test generation tool for JavaScript that automatically generates unit tests for the methods in a given project’s API. We evaluate T <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">est</small> P <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">ilot</small> using OpenAI’s <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">gpt3.5-turbo</i> LLM on 25 npm packages with a total of 1,684 API functions. The generated tests achieve a median statement coverage of 70.2% and branch coverage of 52.8%. In contrast, the state-of-the feedback-directed JavaScript test generation technique, Nessie, achieves only 51.3% statement coverage and 25.6% branch coverage. Furthermore, experiments with excluding parts of the information included in the prompts show that all components contribute towards the generation of effective test suites. We also find that 92.8% of T <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">est</small> P <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">ilot</small> ’s generated tests have ≤ 50% similarity with existing tests (as measured by normalized edit distance), with none of them being exact copies. Finally, we run T <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">est</small> P <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">ilot</small> with two additional LLMs, OpenAI’s older <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">code-cushman-002</i> LLM and <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">StarCoder</i> , an LLM for which the training process is publicly documented. Overall, we observed similar results with the former (68.2% median statement coverage), and somewhat worse results with the latter (54.0% median statement coverage), suggesting that the effectiveness of the approach is influenced by the size and training set of the LLM, but does not fundamentally depend on the specific model. "
LLM4TDD: Best Practices for Test Driven Development Using Large Language Models,"- **Relevance Score:** 46/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Guides LLMs via TDD, preserving test intent, but lacks explicit multi‑source aggregation, conflict handling, and formal ensemble analysis; evaluates on LeetCode rather than SE benchmarks.",https://scispace.com/paper/llm4tdd-best-practices-for-test-driven-development-using-7a6yyryndj,2023,Journal Article,arXiv.org,"Sanyogita Piya
Allison Sullivan",10.48550/arxiv.2312.04687,https://scispace.compdf/llm4tdd-best-practices-for-test-driven-development-using-7a6yyryndj.pdf,"In today's society, we are becoming increasingly dependent on software systems. However, we also constantly witness the negative impacts of buggy software. Program synthesis aims to improve software correctness by automatically generating the program given an outline of the expected behavior. For decades, program synthesis has been an active research field, with recent approaches looking to incorporate Large Language Models to help generate code. This paper explores the concept of LLM4TDD, where we guide Large Language Models to generate code iteratively using a test-driven development methodology. We conduct an empirical evaluation using ChatGPT and coding problems from LeetCode to investigate the impact of different test, prompt and problem attributes on the efficacy of LLM4TDD."
