"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Unitsyn: A large-scale dataset capable of enhancing the prowess of large language models for program testing","https://scispace.com/paper/unitsyn-a-large-scale-dataset-capable-of-enhancing-the-52x4bvfv3n","2024","Journal Article","arXiv.org","Yifeng He
Jiabo Huang
Yuyang Rong
Yiwen Guo
Ethan Wang
Hao Chen","10.48550/arxiv.2402.03396","https://arxiv.org/pdf/2402.03396","… UniTester to synthesize tests in different programming languages. … Instead of writing individual test cases or examples that … for code language models and test generations in Table 2…","The remarkable capability of large language models (LLMs) in generating high-quality code has drawn increasing attention in the software testing community. However, existing code LLMs often demonstrate unsatisfactory capabilities in generating accurate and complete tests since they were trained on code snippets collected without differentiating between code for testing purposes and other code. In this paper, we present a large-scale dataset UniTSyn, which is capable of enhancing the prowess of LLMs for Unit Test Synthesis. Associating tests with the tested functions is crucial for LLMs to infer the expected behavior and the logic paths to be verified. By leveraging Language Server Protocol, UniTSyn achieves the challenging goal of collecting focal-test pairs without per-project execution setups or per-language heuristics that tend to be fragile and difficult to scale. It contains 2.7 million focal-test pairs across five mainstream programming languages, making it possible to be utilized for enhancing the test generation ability of LLMs. The details of UniTSyn can be found in Table 1. Our experiments demonstrate that, by building an autoregressive model based on UniTSyn, we can achieve significant benefits in learning and understanding unit test representations, resulting in improved generation accuracy and code coverage across all evaluated programming languages. Code and data will be publicly available."
"Test-case-driven programming understanding in large language models for better code generation","https://scispace.com/paper/test-case-driven-programming-understanding-in-large-language-4c3bo9otte","2023","Journal Article","arXiv.org","Zhao Tian
Junjie Chen","10.48550/arxiv.2309.16120","https://arxiv.org/pdf/2309.16120","… software developers use test case examples to understand … and evaluate one code instance produced by the used LLM, and … for automatic evaluation of code synthesis. arXiv preprint …","Code generation is to automatically generate source code conforming to a given programming specification, which has received extensive attention especially with the development of large language models (LLMs). Due to the inherent difficulty of code generation, the code generated by LLMs may be also not aligned with the specification. To improve the perfor mance of LLMs in code generation, some Chain of Thought (CoT) techniques have been proposed to guide LLMs for programming understanding before code generation. However, they are still hard to figure out complicated programming logic according to the (concise) specification, leadingto unsatisfactory code generation performance. In this work, we propose the first test-case-driven CoT technique, called TCoT, to further enhance the ability of LLMs in code generation. It understands the programming specification from the novel perspective of test cases, which is aligned with human practice by using examples to understand complicated problems. Due to the existence of the expected output specified in a test case, TCoT can instantly check the correctness of the programming understanding and then refine it to be as correct as possible before code generation. In this way, it is more likely to generate correct code. Our evaluation on 6 datasets and 14 baselines demonstrates the effectiveness of TCoT. For example, TCoT improves ChatGPT by 13.93%~69.44% in terms of Pass@1 (measuring the ratio of programming problems for which the generated code passes all test cases), and outperforms the existing CoT technique with the improvement of 12.14%~53.72% in terms of Pass@1."
"An empirical evaluation of using large language models for automated unit test generation","https://scispace.com/paper/an-empirical-evaluation-of-using-large-language-models-for-4u07o39c3f","2024","Journal Article","IEEE Transactions on Software Engineering","Max Schäfer
Sarah Nadi
Aryaz Eghbali
Frank Tip","10.1109/tse.2023.3334955","https://arxiv.org/pdf/2302.06527","… , an adaptive LLM-based test generation tool for JavaScript … from books and other public sources, while others like OpenAI … show two examples of how TESTPILOT generates tests. As …","Unit tests play a key role in ensuring the correctness of software. However, manually creating unit tests is a laborious task, motivating the need for automation. Large Language Models (LLMs) have recently been applied to various aspects of software development, including their suggested use for automated generation of unit tests, but while requiring additional training or few-shot learning on examples of existing tests. This paper presents a large-scale empirical evaluation on the effectiveness of LLMs for automated unit test generation without requiring additional training or manual effort. Concretely, we consider an approach where the LLM is provided with prompts that include the signature and implementation of a function under test, along with usage examples extracted from documentation. Furthermore, if a generated test fails, our approach attempts to generate a new test that fixes the problem by re-prompting the model with the failing test and error message. We implement our approach in T <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">est</small> P <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">ilot</small> , an adaptive LLM-based test generation tool for JavaScript that automatically generates unit tests for the methods in a given project’s API. We evaluate T <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">est</small> P <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">ilot</small> using OpenAI’s <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">gpt3.5-turbo</i> LLM on 25 npm packages with a total of 1,684 API functions. The generated tests achieve a median statement coverage of 70.2% and branch coverage of 52.8%. In contrast, the state-of-the feedback-directed JavaScript test generation technique, Nessie, achieves only 51.3% statement coverage and 25.6% branch coverage. Furthermore, experiments with excluding parts of the information included in the prompts show that all components contribute towards the generation of effective test suites. We also find that 92.8% of T <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">est</small> P <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">ilot</small> ’s generated tests have ≤ 50% similarity with existing tests (as measured by normalized edit distance), with none of them being exact copies. Finally, we run T <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">est</small> P <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">ilot</small> with two additional LLMs, OpenAI’s older <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">code-cushman-002</i> LLM and <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">StarCoder</i> , an LLM for which the training process is publicly documented. Overall, we observed similar results with the former (68.2% median statement coverage), and somewhat worse results with the latter (54.0% median statement coverage), suggesting that the effectiveness of the approach is influenced by the size and training set of the LLM, but does not fundamentally depend on the specific model. "
"Software testing with large language models: Survey, landscape, and vision","https://scispace.com/paper/software-testing-with-large-language-models-survey-landscape-1e8o1s1vz4","2024","Journal Article","IEEE Transactions on Software Engineering","Junjie Wang
Yuchao Huang
Chunyang Chen
Zhe Liu
Song Wang
Qing Wang","10.1109/tse.2024.3368208","https://arxiv.org/pdf/2307.07221","… of code generation to encompass unit test case generation. … in a test scenario schema, then synthesize the corresponding … , then ensemble the prediction results from them to improve …",""
"Test-driven development and llm-based code generation","https://scispace.com/paper/test-driven-development-and-llm-based-code-generation-4dnmdhdo3d14","2024","Proceedings Article","","Noble Saji Mathews
Mei Nagappan","10.1145/3691620.3695527","","… The foundational model leverages its own knowledge and … the true correctness of LLM-synthesized code. Our extended … of remediation on full program synthesis required for CodeChef …",""
"Generative software engineering","https://scispace.com/paper/generative-software-engineering-43swu20qey","2007","","","Jean-Marc Jézéquel","","https://arxiv.org/pdf/2403.02583","… summarization, bug fixing, and program synthesis. It finds that … by LLM to synthesize algorithm programs to guide generation … For example, you can try to use knowledge distillation or …","Researching evermore abstract and powerful ways of composing programs is the meat of software engineering for half a century. Important early steps were subroutines (to encapsulate actions) and records (to encapsulate data). A large step forward came with the introduction of the object-oriented concepts (classes, subclasses and virtual methods) where classes can encapsulate both data and behaviors in a very powerful, but still flexible, way. For a long time, these concepts dominated the scene, but eventually the need for additional concepts became apparent. In this chapter, we focus on model driven engineering MDE, which complement and leverage other mechanism such generic constructs, aspect oriented programming AOP, component based software development CBSE, generative programming, domain specific languages."
"Personalised distillation: Empowering open-sourced llms with adaptive learning for code generation","https://scispace.com/paper/personalised-distillation-empowering-open-sourced-llms-with-mwzlwsh2zk","2023","Journal Article","arXiv.org","Hailin Chen
Amrita Saha
Steven Hoi
Shafiq Joty","10.48550/arxiv.2310.18628","https://arxiv.org/pdf/2310.18628","… ie code generation and refinement tasks. We collect 10K standard distillation examples and … We then parse and format the generated test-case input and execute the generated code on …","With the rise of powerful closed-sourced LLMs (ChatGPT, GPT-4), there are increasing interests in distilling the capabilies of close-sourced LLMs to smaller open-sourced LLMs. Previous distillation methods usually prompt ChatGPT to generate a set of instructions and answers, for the student model to learn. However, such standard distillation approach neglects the merits and conditions of the student model. Inspired by modern teaching principles, we design a personalised distillation process, in which the student attempts to solve a task first, then the teacher provides an adaptive refinement for the student to improve. Instead of feeding the student with teacher's prior, personalised distillation enables personalised learning for the student model, as it only learns on examples it makes mistakes upon and learns to improve its own solution. On code generation, personalised distillation consistently outperforms standard distillation with only one third of the data. With only 2.5-3K personalised examples that incur a data-collection cost of 4-6$, we boost CodeGen-mono-16B by 7% to achieve 36.4% pass@1 and StarCoder by 12.2% to achieve 45.8% pass@1 on HumanEval. "
"A survey on llm-based code generation for low-resource and domain-specific programming languages","https://scispace.com/paper/_Ztr9nroSmQJ","","","","S Joel
J Wu
F Fard","","https://dl.acm.org/doi/pdf/10.1145/3770084","… To address this knowledge gap, in this study, we … synthesis results of the generated Verilog code. It combines the physical area occupied by a circuit synthesized by the Verilog code …",""
"Cycle: Learning to self-refine the code generation","https://scispace.com/paper/cycle-learning-to-self-refine-the-code-generation-5a4pmy5mfr","2024","Journal Article","arXiv.org","Yangruibo Ding
Marcus J. Min
Gail E. Kaiser
Baishakhi Ray","10.48550/arxiv.2403.18746","https://dl.acm.org/doi/pdf/10.1145/3649825","… other sources such as execution results reported by test suites… at self-refinement, consistently boosting the code generation … behaviors of code LMs during the knowledge distillation, we …","Pre-trained code language models have achieved promising performance in code generation and improved the programming efficiency of human developers. However, their self-refinement capability is typically overlooked by the existing evaluations of code LMs, which focus only on the accuracy of the one-time prediction. For the cases when code LMs fail to implement the correct program, developers actually find it hard to debug and fix the faulty prediction since it is not written by the developers themselves. Unfortunately, our study reveals that code LMs cannot efficiently self-refine their faulty generations as well. In this paper, we propose CYCLE framework, learning to self-refine the faulty generation according to the available feedback, such as the execution results reported by the test suites. We evaluate CYCLE on three popular code generation benchmarks, HumanEval, MBPP, and APPS. The results reveal that CYCLE successfully maintains, sometimes improves, the quality of one-time code generation, while significantly improving the self-refinement capability of code LMs. We implement four variants of CYCLE with varied numbers of parameters across 350M, 1B, 2B, and 3B, and the experiments show that CYCLE consistently boosts the code generation performance, by up to 63.5%, across benchmarks and varied model sizes. We also notice that CYCLE outperforms code LMs that have 3$\times$ more parameters in self-refinement."
"A survey on large language models for software engineering","https://scispace.com/paper/a-survey-on-large-language-models-for-software-engineering-2xlyafsndz","2023","Journal Article","arXiv.org","Quanjun Zhang
Chunrong Fang
Yang Xie
Yaxin Zhang
Yun Yang
Weisong Sun
Shengchen Yu
Zhenyu Chen","10.48550/arxiv.2312.15223","https://arxiv.org/pdf/2312.15223","… tuning, compressing and distillation. Finally, we highlight … eralize from a limited number of examples and explore various … test case generation to enhance the accuracy of code …","Software Engineering (SE) is the systematic design, development, and maintenance of software applications, underpinning the digital infrastructure of our modern mainworld. Very recently, the SE community has seen a rapidly increasing number of techniques employing Large Language Models (LLMs) to automate a broad range of SE tasks. Nevertheless, existing information of the applications, effects, and possible limitations of LLMs within SE is still not well-studied. In this paper, we provide a systematic survey to summarize the current state-of-the-art research in the LLM-based SE community. We summarize 30 representative LLMs of Source Code across three model architectures, 15 pre-training objectives across four categories, and 16 downstream tasks across five categories. We then present a detailed summarization of the recent SE studies for which LLMs are commonly utilized, including 155 studies for 43 specific code-related tasks across four crucial phases within the SE workflow. Besides, we summarize existing attempts to empirically evaluate LLMs in SE, such as benchmarks, empirical studies, and exploration of SE education. We also discuss several critical aspects of optimization and applications of LLMs in SE, such as security attacks, model tuning, and model compression. Finally, we highlight several challenges and potential opportunities on applying LLMs for future SE studies, such as exploring domain LLMs and constructing clean evaluation datasets. Overall, our work can help researchers gain a comprehensive understanding about the achievements of the existing LLM-based SE studies and promote the practical application of these techniques. Our artifacts are publicly available and will continuously updated at the living repository: \url{https://github.com/iSEngLab/AwesomeLLM4SE}."
