Paper Title,Relevance,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Abstract
Text Similarity Analysis for Test Suite Minimization,"- **Relevance Score:** 48/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Outperforms syntactic baselines; evaluated on open-source test suites. Uses clustering for test minimization with semantic text similarity (no code embeddings).",https://scispace.com/paper/Ms9W6coT41kJ,"","","",H Haggren,"",https://www.diva-portal.org/smash/get/diva2:1528332/FULLTEXT01.pdf,""
A Comparative Analysis of Clone Detection Techniques on SemanticCloneBench,"- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses CodeBERT for clone detection on SemanticCloneBench; no clustering or deduplication focus; compares semantic vs token baselines; lacks scalability or ablation analysis.",https://scispace.com/paper/a-comparative-analysis-of-clone-detection-techniques-on-2wxz4abq,2022,Proceedings Article,International Workshop on Software Clones,"Sohaib Masood Rabbani
Nabeel Ahmad Gulzar
Saad Arshad
Shamsa Abid
Shafay Shamail",10.1109/IWSC55060.2022.00011,"","Semantic code clone detection involves the detection of functionally similar code fragments which may otherwise be lexically, syntactically, or structurally dissimilar. The detection of semantic code clones has important applications in aspect mining and product line analysis. The accurate detection of semantic code clones is a challenging task and various techniques have been proposed. However, the evaluation of these techniques is performed using various datasets and we do not have a clear picture of the performance of these techniques relative to each other. Recently, SemanticCloneBench has been introduced as a benchmark for semantic clones. Now, we can use the SemanticCloneBench to effectively evaluate and compare the performance of semantic code clone detection techniques. In this paper, we compare the semantic code clone detection performance of three different code clone detection techniques namely FACER-CD, CodeBERT and NIL for Java code clones using SemanticCloneBench. FACER-CD performs API usage similarity-based clustering to detect clones, while CodeBERT is a deep-learning based approach which uses a pre-trained programming language model, and NIL is a token-based large-gapped code clones detector. FACER-CD, NIL, and CodeBERT show a recall of 64.3%, 12.7%, and 83.2% respectively on SemanticCloneBench. Using all three techniques together on the SemanticCloneBench dataset gives us an overall recall of 95.5% which is currently the best performance achieved on SemanticCloneBench."
"Source Code is a Graph, Not a Sequence: A Cross-Lingual Perspective on Code Clone Detection","- **Relevance Score:** 28/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses CodeBERT and CodeGraph embeddings; compares graph vs sequence models on real code clone benchmarks, showing graph superiority, but lacks clustering, deduplication, scalability, and ablation analyses.",https://scispace.com/paper/source-code-is-a-graph-not-a-sequence-a-cross-lingual-5xf2exhm3l,2023,Journal Article,arXiv.org,"Mohammed Ataaur Rahaman
Julia Ive",10.48550/arxiv.2312.16488,https://scispace.compdf/source-code-is-a-graph-not-a-sequence-a-cross-lingual-5xf2exhm3l.pdf,"Source code clone detection is the task of finding code fragments that have the same or similar functionality, but may differ in syntax or structure. This task is important for software maintenance, reuse, and quality assurance (Roy et al. 2009). However, code clone detection is challenging, as source code can be written in different languages, domains, and styles. In this paper, we argue that source code is inherently a graph, not a sequence, and that graph-based methods are more suitable for code clone detection than sequence-based methods. We compare the performance of two state-of-the-art models: CodeBERT (Feng et al. 2020), a sequence-based model, and CodeGraph (Yu et al. 2023), a graph-based model, on two benchmark data-sets: BCB (Svajlenko et al. 2014) and PoolC (PoolC no date). We show that CodeGraph outperforms CodeBERT on both data-sets, especially on cross-lingual code clones. To the best of our knowledge, this is the first work to demonstrate the superiority of graph-based methods over sequence-based methods on cross-lingual code clone detection."
GraphCode2Vec,"- **Relevance Score:** 27/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Shows strong semantic embedding superiority over syntax‑only baselines, uses CodeBERT/GraphCodeBERT for comparison, but lacks clustering, deduplication, scalability, and ablation analyses.",https://scispace.com/paper/graphcode2vec-3n9yd1hq,2022,Proceedings Article,"","Wei Ma
Mengjie Zhao
Ezekiel O. Soremekun
Qiang Hu
Jie M. Zhang
Mike Papadakis
Maxime Cordy
Xiaofei Xie
Yvesle Traon le Traon",10.1145/3524842.3528456,https://scispace.com/pdf/graphcode2vec-3n9yd1hq.pdf,"Code embedding is a keystone in the application of machine learning on several Software Engineering (SE) tasks. To effectively support a plethora of SE tasks, the embedding needs to capture program syntax and semantics in a way that is generic. To this end, we propose the first self-supervised pre-training approach (called GraphCode2Vec) which produces task-agnostic embedding of lexical and program dependence features. GraphCode2Vec achieves this via a synergistic combination of code analysis and Graph Neural Networks. GraphCode2Vec is generic, it allows pre-training, and it is applicable to several SE downstream tasks. We evaluate the effectiveness of GraphCode2Vec on four (4) tasks (method name prediction, solution classification, mutation testing and overfitted patch classification), and compare it with four (4) similarly generic code embedding baselines (Code2Seq, Code2Vec, CodeBERT, Graph-CodeBERT) and seven (7) task-specific, learning-based methods. In particular, GraphCode2Vec is more effective than both generic and task-specific learning-based baselines. It is also complementary and comparable to GraphCodeBERT (a larger and more complex model). We also demonstrate through a probing and ablation study that GraphCode2Vec learns lexical and program dependence features and that self-supervised pre-training improves effectiveness. "
TCCCD: Triplet-Based Cross-Language Code Clone Detection,"- **Relevance Score:** 27/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses UniXcoder embeddings for cross-language clone detection; no clustering or deduplication focus; compares to baselines, uses a clone dataset, lacks scalability or ablation analysis.",https://scispace.com/paper/tcccd-triplet-based-cross-language-code-clone-detection-eoj08uun4t,2023,Journal Article,Applied Sciences,"Yong Fang
Fangzheng Zhou
Yijia Xu
Zhonglin Liu",10.3390/app132112084,"","Code cloning is a common practice in software development, where developers reuse existing code to accelerate programming speed and enhance work efficiency. Existing clone-detection methods mainly focus on code clones within a single programming language. To address the challenge of code clone instances in cross-platform development, we propose a novel method called TCCCD, which stands for Triplet-Based Cross-Language Code Clone Detection. Our approach is based on machine learning and can accurately detect code clone instances between different programming languages. We used the pre-trained model UniXcoder to map programs written in different languages into the same vector space and learn their code representations. Then, we fine-tuned TCCCD using triplet learning to improve its effectiveness in cross-language clone detection. To assess the effectiveness of our proposed approach, we conducted thorough comparative experiments using the dataset provided by the paper titled CLCDSA (Cross Language Code Clone Detection using Syntactical Features and API Documentation). The experimental results demonstrated a significant improvement of our approach over the state-of-the-art baselines, with precision, recall, and F1-measure scores of 0.96, 0.91, and 0.93, respectively. In summary, we propose a novel cross-language code-clone-detection method called TCCCD. TCCCD leverages the pre-trained model UniXcode for source code representation and fine-tunes the model using triplet learning. In the experimental results, TCCCD outperformed the state-of-the-art baselines in terms of the precision, recall, and F1-measure."
GraphCode2Vec,"- **Relevance Score:** 27/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Shows strong semantic embedding vs. syntactic baselines, uses CodeBERT/GraphCodeBERT references, but lacks clustering, deduplication, scalability, and ablation analyses.",https://scispace.com/paper/graphcode2vec-3n9yd1hq,2022,Proceedings Article,"","Wei Ma
Mengjie Zhao
Ezekiel O. Soremekun
Qiang Hu
Jie M. Zhang
Mike Papadakis
Maxime Cordy
Xiaofei Xie
Yvesle Traon le Traon",10.1145/3524842.3528456,https://scispace.com/pdf/graphcode2vec-3n9yd1hq.pdf,"Code embedding is a keystone in the application of machine learning on several Software Engineering (SE) tasks. To effectively support a plethora of SE tasks, the embedding needs to capture program syntax and semantics in a way that is generic. To this end, we propose the first self-supervised pre-training approach (called GraphCode2Vec) which produces task-agnostic embedding of lexical and program dependence features. GraphCode2Vec achieves this via a synergistic combination of code analysis and Graph Neural Networks. GraphCode2Vec is generic, it allows pre-training, and it is applicable to several SE downstream tasks. We evaluate the effectiveness of GraphCode2Vec on four (4) tasks (method name prediction, solution classification, mutation testing and overfitted patch classification), and compare it with four (4) similarly generic code embedding baselines (Code2Seq, Code2Vec, CodeBERT, Graph-CodeBERT) and seven (7) task-specific, learning-based methods. In particular, GraphCode2Vec is more effective than both generic and task-specific learning-based baselines. It is also complementary and comparable to GraphCodeBERT (a larger and more complex model). We also demonstrate through a probing and ablation study that GraphCode2Vec learns lexical and program dependence features and that self-supervised pre-training improves effectiveness. "
Distributed Representation for Assembly Code,"- **Relevance Score:** 26/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses assembly embeddings and graph vectors with clustering for similarity detection, reports faster execution, but lacks transformer models, density/hierarchical clustering, and test‑case deduplication focus.",https://scispace.com/paper/distributed-representation-for-assembly-code-4x125lfii3,2023,Journal Article,Computers,"Kazuki Yoshida
Kaiyu Suzuki
Tomofumi Matsuzawa",10.3390/computers12110222,"","In recent years, the number of similar software products with many common parts has been increasing due to the reuse and plagiarism of source code in the software development process. Pattern matching, which is an existing method for detecting similarity, cannot detect the similarities between these software products and other programs. It is necessary, for example, to detect similarities based on commonalities in both functionality and control structures. At the same time, detailed software analysis requires manual reverse engineering. Therefore, technologies that automatically identify similarities among the arge amounts of code present in software products in advance can reduce these oads. In this paper, we propose a representation earning model to extract feature expressions from assembly code obtained by statically analyzing such code to determine the similarity between software products. We use assembly code to eliminate the dependence on the existence of source code or differences in development anguage. The proposed approach makes use of Asm2Vec, an existing method, that is capable of generating a vector representation that captures the semantics of assembly code. The proposed method also incorporates information on the program control structure. The control structure can be represented by graph data. Thus, we use graph embedding, a graph vector representation method, to generate a representation vector that reflects both the semantics and the control structure of the assembly code. In our experiments, we generated expression vectors from multiple programs and used clustering to verify the accuracy of the approach in classifying similar programs into the same cluster. The proposed method outperforms existing methods that only consider semantics in both accuracy and execution time. "
"LTM: Scalable and Black-box Similarity-based Test Suite Minimization
  based on Language Models","- **Relevance Score:** 25/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses CodeBERT/GraphCodeBERT/UniXcoder embeddings and reports extensive runtime and ablation analyses, but lacks any clustering component or syntactic baseline comparison.",https://scispace.com/paper/ltm-scalable-and-black-box-similarity-based-test-suite-2de19u9j,2023,Posted Content,"","",10.48550/arxiv.2304.01397,https://scispace.com/pdf/ltm-scalable-and-black-box-similarity-based-test-suite-2de19u9j.pdf,"Test suite minimization (TSM) is typically used to improve the efficiency of software testing by removing redundant test cases, thus reducing testing time and resources, while maintaining the fault detection capability of the test suite. Though many TSM approaches exist, most of them rely on code coverage (white-box) or model-based features, which are not always available for test engineers. Recent TSM approaches that rely only on test code (black-box) have been proposed, such as ATM and FAST-R. Though ATM achieves a better trade-off between effectiveness and efficiency than FAST-R, it suffers from scalability issues for large software systems as its execution time increases rapidly with test suite size. To address scalability, we propose LTM, a scalable and black-box similarity-based TSM approach based on language models. To support similarity measurement, we investigated three different pre-trained language models: CodeBERT, GraphCodeBERT, and UniXcoder, to extract embeddings of test code (Java test methods), on which we computed two similarity measures: Cosine Similarity and Euclidean Distance. Our goal is to find similarity measures that are not only computationally more efficient but can also better guide a Genetic Algorithm (GA), which is used for minimizing test suites, thus reducing minimization time. Experimental results showed that the best configuration of LTM (using UniXcoder with Cosine similarity) outperformed the best two configurations of ATM by achieving significantly higher fault detection rates (0.84 versus 0.81, on average) and, more importantly, running much faster (26.73 minutes versus 72.75 minutes, on average) than ATM, in terms of both preparation time (up to two orders of magnitude faster) and minimization time (one order of magnitude faster). "
LTM: Scalable and Black-Box Similarity-Based Test Suite Minimization Based on Language Models,"- **Relevance Score:** 25/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses CodeBERT/UniXcoder embeddings; compares embedding choices and similarity metrics; reports large speedups versus ATM; lacks any clustering component.",https://scispace.com/paper/ltm-scalable-and-black-box-similarity-based-test-suite-2dvyb2p6,2023,Journal Article,arXiv.org,"Rongqing Pan
Taher Ahmed Ghaleb
Lionel C. Briand",10.48550/arXiv.2304.01397,https://ieeexplore.ieee.org/iel8/32/4359463/10697930.pdf,"Test suite minimization (TSM) is typically used to improve the efficiency of software testing by removing redundant test cases, thus reducing testing time and resources, while maintaining the fault detection capability of the test suite. Though many TSM approaches exist, most of them rely on code coverage (white-box) or model-based features, which are not always available for test engineers. Recent TSM approaches that rely only on test code (black-box) have been proposed, such as ATM and FAST-R. Though ATM achieves a better trade-off between effectiveness and efficiency than FAST-R, it suffers from scalability issues for large software systems as its execution time increases rapidly with test suite size. To address scalability, we propose LTM, a scalable and black-box similarity-based TSM approach based on language models. To support similarity measurement, we investigated three different pre-trained language models: CodeBERT, GraphCodeBERT, and UniXcoder, to extract embeddings of test code (Java test methods), on which we computed two similarity measures: Cosine Similarity and Euclidean Distance. Our goal is to find similarity measures that are not only computationally more efficient but can also better guide a Genetic Algorithm (GA), which is used for minimizing test suites, thus reducing minimization time. Experimental results showed that the best configuration of LTM (using UniXcoder with Cosine similarity) outperformed the best two configurations of ATM by achieving significantly higher fault detection rates (0.84 versus 0.81, on average) and, more importantly, running much faster (26.73 minutes versus 72.75 minutes, on average) than ATM, in terms of both preparation time (up to two orders of magnitude faster) and minimization time (one order of magnitude faster)."
LTM: Scalable and Black-box Similarity-based Test Suite Minimization based on Language Models,"- **Relevance Score:** 25/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses CodeBERT/GraphCodeBERT/UniXcoder embeddings; compares embedding choices and similarity metrics; reports large speedups versus ATM; experiments on Java test suites; no clustering or syntactic baseline comparisons.",https://scispace.com/paper/ltm-scalable-and-black-box-similarity-based-test-suite-2dvyb2p6,2023,Journal Article,arXiv.org,"Rongqing Pan
Taher Ahmed Ghaleb
Lionel C. Briand",10.48550/arXiv.2304.01397,"","Test suite minimization (TSM) is typically used to improve the efficiency of software testing by removing redundant test cases, thus reducing testing time and resources, while maintaining the fault detection capability of the test suite. Though many TSM approaches exist, most of them rely on code coverage (white-box) or model-based features, which are not always available for test engineers. Recent TSM approaches that rely only on test code (black-box) have been proposed, such as ATM and FAST-R. Though ATM achieves a better trade-off between effectiveness and efficiency than FAST-R, it suffers from scalability issues for large software systems as its execution time increases rapidly with test suite size. To address scalability, we propose LTM, a scalable and black-box similarity-based TSM approach based on language models. To support similarity measurement, we investigated three different pre-trained language models: CodeBERT, GraphCodeBERT, and UniXcoder, to extract embeddings of test code (Java test methods), on which we computed two similarity measures: Cosine Similarity and Euclidean Distance. Our goal is to find similarity measures that are not only computationally more efficient but can also better guide a Genetic Algorithm (GA), which is used for minimizing test suites, thus reducing minimization time. Experimental results showed that the best configuration of LTM (using UniXcoder with Cosine similarity) outperformed the best two configurations of ATM by achieving significantly higher fault detection rates (0.84 versus 0.81, on average) and, more importantly, running much faster (26.73 minutes versus 72.75 minutes, on average) than ATM, in terms of both preparation time (up to two orders of magnitude faster) and minimization time (one order of magnitude faster)."
