Paper Title,Relevance,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Abstract
Large language model-based agents for software engineering: A survey,"- **Relevance Score:** 60/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Survey covers LLM agents, multi‑agent collaboration, and role‑play prompting, but lacks direct focus on unit‑test generation, adversarial evaluation, and new empirical measurements.",https://scispace.com/paper/large-language-model-based-agents-for-software-engineering-a-5edi77w6grl0,2024,Journal Article,"","Junwei Liu
Kaixin Wang
Yixuan Chen
Xin Peng
Zhenpeng Chen
Lingming Zhang
Yiling Lou",10.48550/arxiv.2409.02977,https://arxiv.org/pdf/2409.02977?,"The recent advance in Large Language Models (LLMs) has shaped a new paradigm of AI agents, i.e., LLM-based agents. Compared to standalone LLMs, LLM-based agents substantially extend the versatility and expertise of LLMs by enhancing LLMs with the capabilities of perceiving and utilizing external resources and tools. To date, LLM-based agents have been applied and shown remarkable effectiveness in Software Engineering (SE). The synergy between multiple agents and human interaction brings further promise in tackling complex real-world SE problems. In this work, we present a comprehensive and systematic survey on LLM-based agents for SE. We collect 106 papers and categorize them from two perspectives, i.e., the SE and agent perspectives. In addition, we discuss open challenges and future directions in this critical domain. The repository of this survey is at https://github.com/FudanSELab/Agent4SE-Paper-List. "
LLM Harmony: Multi-Agent Communication for Problem Solving,"- **Relevance Score:** 59/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses distinct personas for LLM agents, enabling role‑play prompting; leverages multiple specialized agents to solve tasks, boosting output quality. Shows empirical gains over baselines. Lacks unit‑test focus, adversarial critique, and human studies; only briefly mentions prompting variants; no released tool.",https://scispace.com/paper/http://arxiv.org/abs/2401.01312v1,2024,Preprint,"",Sumedh Rasal,"",http://arxiv.org/pdf/2401.01312v1,"Large Language Models (LLMs) have revolutionized Natural Language Processing
but exhibit limitations, particularly in autonomously addressing novel
challenges such as reasoning and problem-solving. Traditional techniques like
chain-of-thought prompting necessitate explicit human guidance. This paper
introduces a novel multi-agent communication framework, inspired by the CAMEL
model, to enhance LLMs' autonomous problem-solving capabilities. The framework
employs multiple LLM agents, each with a distinct persona, engaged in
role-playing communication, offering a nuanced and adaptable approach to
diverse problem scenarios. Extensive experimentation demonstrates the
framework's superior performance and adaptability, providing valuable insights
into the collaborative potential of multiple agents in overcoming the
limitations of individual models."
"Unleashing the Emergent Cognitive Synergy in Large Language Models: A
  Task-Solving Agent through Multi-Persona Self-Collaboration","- **Relevance Score:** 58/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses multi‑persona prompting to create a cognitive synergist; demonstrates strong empirical gains across diverse tasks; releases code and data; does not target unit‑test generation or adversarial evaluation.",https://scispace.com/paper/http://arxiv.org/abs/2307.05300v4,2023,Preprint,"","Zhenhailong Wang
Shaoguang Mao
Wenshan Wu
Tao Ge
Furu Wei
Heng Ji","",http://arxiv.org/pdf/2307.05300v4,"Human intelligence thrives on cognitive synergy, where collaboration among
different minds yield superior outcomes compared to isolated individuals. In
this work, we propose Solo Performance Prompting (SPP), which transforms a
single LLM into a cognitive synergist by engaging in multi-turn
self-collaboration with multiple personas. A cognitive synergist is an
intelligent agent that collaboratively combines multiple minds' strengths and
knowledge to enhance problem-solving in complex tasks. By dynamically
identifying and simulating different personas based on task inputs, SPP
unleashes the potential of cognitive synergy in LLMs. Our in-depth analysis
shows that assigning multiple fine-grained personas in LLMs improves
problem-solving abilities compared to using a single or fixed number of
personas. We evaluate SPP on three challenging tasks: Trivia Creative Writing,
Codenames Collaborative, and Logic Grid Puzzle, encompassing both
knowledge-intensive and reasoning-intensive types. Unlike previous works, such
as Chain-of-Thought, that solely enhance the reasoning abilities in LLMs,
experimental results demonstrate that SPP effectively reduces factual
hallucination, and maintains strong reasoning capabilities. Additionally,
comparative experiments show that cognitive synergy only emerges in GPT-4 and
does not appear in less capable models, such as GPT-3.5-turbo and
Llama2-13b-chat, which draws an interesting analogy to human development. Code,
data, and prompts can be found at:
https://github.com/MikeWangWZHL/Solo-Performance-Prompting.git."
"Rolellm: Benchmarking, eliciting, and enhancing role-playing abilities of large language models","- **Relevance Score:** 56/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Provides extensive role‑based prompting framework, benchmarks, and empirical gains, but does not target unit‑test generation or adversarial evaluation.",https://scispace.com/paper/rolellm-benchmarking-eliciting-and-enhancing-role-playing-5djxzl2pyc,2023,Journal Article,arXiv.org,"Zekun Moore Wang
Zhongyuan Peng
Haoran Que
Jiaheng Liu
Wangchunshu Zhou
Yuhan Wu
Hongcheng Guo
Ruitong Gan
Zehao Ni
Man Zhang
Zhaoxiang Zhang
Wanli Ouyang
Ke Xu
Wenhu Chen
Jie Fu
Junran Peng",10.48550/arxiv.2310.00746,https://arxiv.org/pdf/2310.00746,"The advent of Large Language Models (LLMs) has paved the way for complex tasks such as role-playing, which enhances user interactions by enabling models to imitate various characters. However, the closed-source nature of state-of-the-art LLMs and their general-purpose training limit role-playing optimization. In this paper, we introduce RoleLLM, a framework to benchmark, elicit, and enhance role-playing abilities in LLMs. RoleLLM comprises four stages: (1) Role Profile Construction for 100 roles; (2) Context-Based Instruction Generation (Context-Instruct) for role-specific knowledge extraction; (3) Role Prompting using GPT (RoleGPT) for speaking style imitation; and (4) Role-Conditioned Instruction Tuning (RoCIT) for fine-tuning open-source models along with role customization. By Context-Instruct and RoleGPT, we create RoleBench, the first systematic and fine-grained character-level benchmark dataset for role-playing with 168,093 samples. Moreover, RoCIT on RoleBench yields RoleLLaMA (English) and RoleGLM (Chinese), significantly enhancing role-playing abilities and even achieving comparable results with RoleGPT (using GPT-4)."
MapCoder: Multi-Agent Code Generation for Competitive Problem Solving,"- **Relevance Score:** 53/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses role‑specific agents for recall, planning, coding, debugging; shows strong empirical gains on code benchmarks; releases open‑source framework; does not target unit‑test generation or adversarial testing, and lacks human studies.",https://scispace.com/paper/http://arxiv.org/abs/2405.11403v1,2024,Preprint,"","Md. Ashraful Islam
Mohammed Eunus Ali
Md Rizwan Parvez","",http://arxiv.org/pdf/2405.11403v1,"Code synthesis, which requires a deep understanding of complex natural
language problem descriptions, generation of code instructions for complex
algorithms and data structures, and the successful execution of comprehensive
unit tests, presents a significant challenge. While large language models
(LLMs) demonstrate impressive proficiency in natural language processing, their
performance in code generation tasks remains limited. In this paper, we
introduce a new approach to code generation tasks leveraging multi-agent
prompting that uniquely replicates the full cycle of program synthesis as
observed in human developers. Our framework, MapCoder, consists of four LLM
agents specifically designed to emulate the stages of this cycle: recalling
relevant examples, planning, code generation, and debugging. After conducting
thorough experiments, with multiple LLM ablations and analyses across eight
challenging competitive problem-solving and program synthesis benchmarks,
MapCoder showcases remarkable code generation capabilities, achieving new
state-of-the-art results (pass@1) on HumanEval (93.9%), MBPP (83.1%), APPS
(22.0%), CodeContests (28.5%), and xCodeEval (45.3%). Moreover, our method
consistently delivers superior performance across various programming languages
and varying problem difficulties. We open-source our framework at
https://github.com/Md-Ashraful-Pramanik/MapCoder."
"TestART: Improving LLM-based Unit Test via Co-evolution of Automated
  Generation and Repair Iteration","- **Relevance Score:** 52/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Shows strong empirical gains in unit-test generation via LLM prompts and repair, but lacks explicit role‑based or adversarial prompting strategies.",https://scispace.com/paper/testart-improving-llm-based-unit-test-via-co-evolution-of-422wn47hwwoe,2024,Journal Article,"","Siqi Gu
Chunrong Fang
Quanjun Zhang
Fangyuan Tian
Jianyi Zhou
Zhenyu Chen",10.48550/arxiv.2408.03095,https://scispace.compdf/testart-improving-llm-based-unit-test-via-co-evolution-of-422wn47hwwoe.pdf,"Unit test is crucial for detecting bugs in individual program units but consumes time and effort. The existing automated unit test generation methods are mainly based on search-based software testing (SBST) and language models to liberate developers. Recently, large language models (LLMs) have demonstrated remarkable reasoning and generation capabilities. However, several problems limit their ability to generate high-quality test cases: (1) LLMs may generate invalid test cases under insufficient context, resulting in compilation errors; (2) Lack of test and coverage feedback information may cause runtime errors and low coverage rates. (3) The repetitive suppression problem causes LLMs to get stuck into the repetition loop of self-repair or re-generation attempts. In this paper, we propose TestART, a novel unit test generation method that leverages the strengths of LLMs while overcoming the limitations mentioned. TestART improves LLM-based unit test via co-evolution of automated generation and repair iteration. TestART leverages the template-based repair technique to fix bugs in LLM-generated test cases, using prompt injection to guide the next-step automated generation and avoid repetition suppression. Furthermore, TestART extracts coverage information from the passed test cases and utilizes it as testing feedback to enhance the sufficiency of the final test case. This synergy between generation and repair elevates the quality, effectiveness, and readability of the produced test cases significantly beyond previous methods. In comparative experiments, the pass rate of TestART-generated test cases is 78.55%, which is approximately 18% higher than both the ChatGPT-4.0 model and the same ChatGPT-3.5-based method ChatUniTest. It also achieves an impressive line coverage rate of 90.96% on the focal methods that passed the test, exceeding EvoSuite by 3.4%. "
The Oscars of AI Theater: A Survey on Role-Playing with Language Models,"- **Relevance Score:** 49/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Survey details role‑play prompting for LLMs, discusses strategies, but lacks unit‑test focus, empirical gains, or released tools.",https://scispace.com/paper/the-oscars-of-ai-theater-a-survey-on-role-playing-with-4j468gim15ia,2024,Journal Article,arXiv.org,"Nuo Chen
Yang Deng
Jia Li",10.48550/arxiv.2407.11484,https://scispace.compdf/the-oscars-of-ai-theater-a-survey-on-role-playing-with-4j468gim15ia.pdf,"This survey explores the burgeoning field of role-playing with language models, focusing on their development from early persona-based models to advanced character-driven simulations facilitated by Large Language Models (LLMs). Initially confined to simple persona consistency due to limited model capabilities, role-playing tasks have now expanded to embrace complex character portrayals involving character consistency, behavioral alignment, and overall attractiveness. We provide a comprehensive taxonomy of the critical components in designing these systems, including data, models and alignment, agent architecture and evaluation. This survey not only outlines the current methodologies and challenges, such as managing dynamic personal profiles and achieving high-level persona consistency but also suggests avenues for future research in improving the depth and realism of role-playing applications. The goal is to guide future research by offering a structured overview of current methodologies and identifying potential areas for improvement. Related resources and papers are available at https://github.com/nuochenpku/Awesome-Role-Play-Papers."
Pioneering Autonomous Penetration Testing with Large Language Models through Prompt Engineering and Agentic System Design,"- **Relevance Score:** 48/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses role‑based prompts to orchestrate multiple AI agents for autonomous penetration testing; evaluates agents adversarially and reports performance gains, but does not target unit test generation.",https://scispace.com/paper/bM5w3NSWoq0J,"","","",SS Antar,"",https://qspace.library.queensu.ca/bitstreams/15e89303-70b1-427b-9fb0-fb02984fae24/download,""
"Large language model agent: A survey on methodology, applications and challenges","- **Relevance Score:** 47/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Survey extensively covers role‑based and multi‑agent prompting, discusses various role‑play strategies, and mentions adversarial robustness testing, but lacks unit‑test focus, empirical improvement data, human studies, or released tools.",https://scispace.com/paper/large-language-model-agent-a-survey-on-methodology-v2xrqrrlb0ml,2025,Journal Article,arXiv.org,"Junyu Luo
Weizhi Zhang
Ye Yuan
Yusheng Zhao
Junwei Yang
Yiyang Gu
Bohan Wu
Binqi Chen
Ziyue Qiao
Qingqing Long
Rongcheng Tu
Xiaoming Luo
Wei Ju
Zhiping Xiao
Yifan Wang
Mengxue Xiao
Chenwu Liu
Jingyang Yuan
Shichang Zhang
Yiqiao Jin
Fan Zhang
Xianhong Wu
Hanqing Zhao
Dacheng Tao
Philip S. Yu
Ming Zhang",10.48550/arxiv.2503.21460,https://arxiv.org/pdf/2503.21460?,""
"LLM Economist: Large Population Models and Mechanism Design in
  Multi-Agent Generative Simulacra","- **Relevance Score:** 47/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses persona‑conditioned prompts for economic agents; applies multiple specialized roles (workers, planner) to solve policy design; shows empirical welfare gains versus baselines, but does not target unit‑test generation or adversarial prompt evaluation.",https://scispace.com/paper/http://arxiv.org/abs/2507.15815v1,2025,Preprint,"","Seth Karten
Wenzhe Li
Zihan Ding
Samuel Kleiner
Yu Bai
Chi Jin","",http://arxiv.org/pdf/2507.15815v1,"We present the LLM Economist, a novel framework that uses agent-based
modeling to design and assess economic policies in strategic environments with
hierarchical decision-making. At the lower level, bounded rational worker
agents -- instantiated as persona-conditioned prompts sampled from U.S.
Census-calibrated income and demographic statistics -- choose labor supply to
maximize text-based utility functions learned in-context. At the upper level, a
planner agent employs in-context reinforcement learning to propose
piecewise-linear marginal tax schedules anchored to the current U.S. federal
brackets. This construction endows economic simulacra with three capabilities
requisite for credible fiscal experimentation: (i) optimization of
heterogeneous utilities, (ii) principled generation of large, demographically
realistic agent populations, and (iii) mechanism design -- the ultimate nudging
problem -- expressed entirely in natural language. Experiments with populations
of up to one hundred interacting agents show that the planner converges near
Stackelberg equilibria that improve aggregate social welfare relative to Saez
solutions, while a periodic, persona-level voting procedure furthers these
gains under decentralized governance. These results demonstrate that large
language model-based agents can jointly model, simulate, and govern complex
economic systems, providing a tractable test bed for policy evaluation at the
societal scale to help build better civilizations."
