Paper Title,Relevance,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Abstract
Llms and prompting for unit test generation: A large-scale evaluation,"- **Relevance Score:** 83/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Evaluates LLM-generated unit tests, reports bug detection and mutation scores on Defects4J, directly compares with human tests; lacks human user study.",https://scispace.com/paper/llms-and-prompting-for-unit-test-generation-a-large-scale-54771djy5jaw,2024,Journal Article,"","Wendkûuni C. Ouédraogo
Abdoul Kader Kaboré
Haoye Tian
Yewei Song
Anil Koyuncu
Jacques Klein
David Lo
Tegawendé F. Bissyandé",10.1145/3691620.3695330,https://dl.acm.org/doi/pdf/10.1145/3691620.3695330,""
Llms for intelligent software testing: a comparative study,"- **Relevance Score:** 76/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses LLMs to generate and rank tests, reports effectiveness and validity metrics, evaluates on Defects4J, includes limited human test comparison, lacks human assessment.",https://scispace.com/paper/llms-for-intelligent-software-testing-a-comparative-study-2mh8h623e2px,2024,Proceedings Article,"","Mohamed Boukhlif
Nassim Kharmoum
Mohamed Hanine",10.1145/3659677.3659749,"",""
Multi-language Unit Test Generation using LLMs,"- **Relevance Score:** 73/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Evaluates LLM-generated tests with mutation score and coverage, includes a developer user study, but uses custom benchmarks rather than standard datasets and lacks direct human‑vs‑AI test comparison.",https://scispace.com/paper/multi-language-unit-test-generation-using-llms-32gu1lf1jov7,2024,Journal Article,"","Rangeet Pan
Myeong-Soo Kim
Rahul Krishna
Raju Pavuluri
Saurabh Sinha",10.48550/arxiv.2409.03093,https://scispace.compdf/multi-language-unit-test-generation-using-llms-32gu1lf1jov7.pdf,"Implementing automated unit tests is an important but time consuming activity in software development. Developers dedicate substantial time to writing tests for validating an application and preventing regressions. To support developers in this task, software engineering research over the past few decades has developed many techniques for automating unit test generation. However, despite this effort, usable tools exist for very few programming languages -- mainly Java, C, and C# and, more recently, for Python. Moreover, studies have found that automatically generated tests suffer poor readability and often do not resemble developer-written tests. In this work, we present a rigorous investigation of how large language models (LLMs) can help bridge the gap. We describe a generic pipeline that incorporates static analysis to guide LLMs in generating compilable and high-coverage test cases. We illustrate how the pipeline can be applied to different programming languages, specifically Java and Python, and to complex software requiring environment mocking. We conducted a through empirical study to assess the quality of the generated tests in terms of coverage, mutation score, and test naturalness -- evaluating them on standard as well as enterprise Java applications and a large Python benchmark. Our results demonstrate that LLM-based test generation, when guided by static analysis, can be competitive with, and even outperform, state-of-the-art test-generation techniques in coverage achieved while also producing considerably more natural test cases that developers find easy to read and understand. We also present the results of a user study, conducted with 161 professional developers, that highlights the naturalness characteristics of the tests generated by our approach. "
Large Language Models are Few-shot Testers: Exploring LLM-based General Bug Reproduction,"- **Relevance Score:** 68/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses LLMs to generate bug‑reproducing tests evaluated on Defects4J (perfect match). Reports bug‑reproduction rate as quantitative quality metric (close match). Lacks human‑written test comparison and human evaluation.",https://scispace.com/paper/large-language-models-are-few-shot-testers-exploring-llm-3g7t5qe60b,2023,Journal Article,"","Sungmin Kang
Juyeon Yoon
Shin Yoo",10.1109/icse48619.2023.00194,https://scispace.compdf/large-language-models-are-few-shot-testers-exploring-llm-3g7t5qe60b.pdf,"Many automated test generation techniques have been developed to aid developers with writing tests. To facilitate full automation, most existing techniques aim to either increase coverage, or generate exploratory inputs. However, existing test generation techniques largely fall short of achieving more semantic objectives, such as generating tests to reproduce a given bug report. Reproducing bugs is nonetheless important, as our empirical study shows that the number of tests added in open source repositories due to issues was about 28% of the corresponding project test suite size. Meanwhile, due to the difficulties of transforming the expected program semantics in bug reports into test oracles, existing failure reproduction techniques tend to deal exclusively with program crashes, a small subset of all bug reports. To automate test generation from general bug reports, we propose Libro, a framework that uses Large Language Models (LLMs), which have been shown to be capable of performing code-related tasks. Since LLMs themselves cannot execute the target buggy code, we focus on post-processing steps that help us discern when LLMs are effective, and rank the produced tests according to their validity. Our evaluation of Libro shows that, on the widely studied Defects4J benchmark, Libro can generate failure reproducing test cases for 33% of all studied cases (251 out of 750), while suggesting a bug reproducing test in first place for 149 bugs. To mitigate data contamination (i.e., the possibility of the LLM simply remembering the test code either partially or in whole), we also evaluate Libro against 31 bug reports submitted after the collection of the LLM training data terminated: Libro produces bug reproducing tests for 32% of the studied bug reports. Overall, our results show Libro has the potential to significantly enhance developer efficiency by automatically generating tests from bug reports. "
Exploring Automated Assertion Generation via Large Language Models,"- **Relevance Score:** 68/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Evaluates LLM-generated assertions, reports bug detection rates on Defects4J, but lacks human‑written test comparison and human‑based quality assessment.",https://scispace.com/paper/exploring-automated-assertion-generation-via-large-language-7f5i135h60kk,2024,Journal Article,ACM Transactions on Software Engineering and Methodology,"Quanjun Zhang
Weifeng Sun
Chunrong Fang
Bowen Yu
H. Li
Meng Yan
Jianyi Zhou
Zhenyu Chen",10.1145/3699598,"","Unit testing aims to validate the correctness of software system units and has become an essential practice in software development and maintenance. However, it is incredibly time-consuming and labor-intensive for testing experts to write unit test cases manually, including test inputs ( i.e., prefixes) and test oracles ( i.e., assertions). Very recently, some techniques have been proposed to apply Large Language Models (LLMs) to generate unit assertions and have proven the potential in reducing manual testing efforts. However, there has been no systematic comparison of the effectiveness of these LLMs, and their pros and cons remain unexplored. To bridge this gap, we perform the first extensive study on applying various LLMs to automated assertion generation. The experimental results on two independent datasets show that studied LLMs outperform six state-of-the-art techniques with a prediction accuracy of 51.82% \(\sim\) 58.71% and 38.72% \(\sim\) 48.19%. The improvements achieve 29.60% and 12.47% on average. Besides, as a representative LLM, CodeT5 consistently outperforms all studied LLMs and all baselines on both datasets, with an average improvement of 13.85% and 26.64%, respectively. We also explore the performance of generated assertions in detecting real-world bugs, and find LLMs are able to detect 32 bugs from Defects4J on average, with an improvement of 52.38% against the most recent approach EditAS . Inspired by the findings, we construct a simplistic retrieval-and-repair-enhanced LLM-based approach by transforming the assertion generation problem into a program repair task for retrieved similar assertions. Surprisingly, such a simplistic approach can further improve the prediction accuracy of LLMs by 9.40% on average, leading to new records on both datasets. Besides, we provide additional discussions from different aspects ( e.g., the impact of assertion types and test lengths) to illustrate the capacity and limitations of LLM-based approaches. Finally, we further pinpoint various practical guidelines ( e.g., the improvement of multiple candidate assertions) for advanced LLM-based assertion generation in the near future. Overall, our work underscores the promising future of adopting off-the-shelf LLMs to generate accurate and meaningful assertions in real-world test cases and reduce the manual efforts of unit testing experts in practical scenarios. "
Automated Unit Test Generation and Improvement with Large Language Models (LLMs)/submitted by Florian Stifter,"- **Relevance Score:** 66/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Provides LLM-generated test evaluation with quality metrics and benchmark datasets, includes some human comparison, but lacks human user study and uses non‑standard benchmarks.",https://scispace.com/paper/lHCbL5rV5D0J,"","","",F Stifter,"",https://epub.jku.at/obvulihs/content/titleinfo/11324135/full.pdf,""
Effective test generation using pre-trained Large Language Models and mutation testing,"- **Relevance Score:** 62/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses LLMs to generate tests and assesses them with mutation testing, reporting mutation scores and bug detection improvements. Does not employ standard benchmarks like HumanEval, and lacks a human study; only loosely compares against human‑written code snippets.",https://scispace.com/paper/effective-test-generation-using-pre-trained-large-language-3rjom5g4c0,2024,Journal Article,Information & Software Technology,"Arghavan Moradi Dakhel
Amin Nikanjam
Vahid Majdinasab
Foutse Khomh
Michel C. Desmarais",10.1016/j.infsof.2024.107468,"","One of the critical phases in the software development life cycle is software testing. Testing helps with identifying potential bugs and reducing maintenance costs. The goal of automated test generation tools is to ease the development of tests by suggesting efficient bug-revealing tests. Recently, researchers have leveraged Large Language Models (LLMs) of code to generate unit tests. While the code coverage of generated tests was usually assessed, the literature has acknowledged that the coverage is weakly correlated with the efficiency of tests in bug detection. To improve over this limitation, in this paper, we introduce MuTAP (Mutation Test case generation using Augmented Prompt) for improving the effectiveness of test cases generated by LLMs in terms of revealing bugs by leveraging mutation testing. Our goal is achieved by augmenting prompts with surviving mutants, as those mutants highlight the limitations of test cases in detecting bugs. MuTAP is capable of generating effective test cases in the absence of natural language descriptions of the Program Under Test (PUTs). We employ different LLMs within MuTAP and evaluate their performance on different benchmarks. Our results show that our proposed method is able to detect up to 28% more faulty human-written code snippets. Among these, 17% remained undetected by both the current state-of-the-art fully-automated test generation tool (i.e., Pynguin) and zero-shot/few-shot learning approaches on LLMs. Furthermore, MuTAP achieves a Mutation Score (MS) of 93.57% on synthetic buggy code, outperforming all other approaches in our evaluation. Our findings suggest that although LLMs can serve as a useful tool to generate test cases, they require specific post-processing steps to enhance the effectiveness of the generated test cases which may suffer from syntactic or functional errors and may be ineffective in detecting certain types of bugs and testing corner cases in PUTs. "
Towards Automated Software Testing: Evaluating LLMs in Generating Effective Test Cases,"- **Relevance Score:** 62/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Evaluates LLM‑generated tests on HumanEval, showing automated test generation effectiveness, but lacks detailed quality metrics, human‑test comparison, and user studies.",https://scispace.com/paper/towards-automated-software-testing-evaluating-llms-in-k3qey8xh5arf,2025,Journal Article,Communications in computer and information science,"Marcel Pehlke
Cindy Eudenbach
Maximilian Graw
Marc Jansen",10.1007/978-3-031-95127-5_16,"",""
On the evaluation of large language models in unit test generation,"- **Relevance Score:** 62/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses LLMs to generate unit tests and evaluates them on Defects4J; reports some quality numbers (e.g., detection rates) but lacks human‑test comparison and user studies.",https://scispace.com/paper/on-the-evaluation-of-large-language-models-in-unit-test-39g2lkhyg5oa,2024,Journal Article,"","Lin Yang
Chen Yang
Shutao Gao
Weijing Wang
Bo Wang
Qihao Zhu
Chu Xiao
Jianyi Zhou
Guangtai Liang
Qianxiang Wang
Junjie Chen",10.1145/3691620.3695529,https://arxiv.org/pdf/2406.18181,""
AI-Assisted Unit Testing: Empirical Insights into GitHub Copilot Chat's Effectiveness and Collaborative Benefits,"- **Relevance Score:** 62/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses GitHub Copilot Chat to generate unit tests and analyses passing/bug detection on Defects4J; reports detection metrics but lacks mutation scores, direct human‑test comparison, and human rating study.",https://scispace.com/paper/uU1F-VH9S54J,"","","",E Sundqvist,"",https://www.diva-portal.org/smash/get/diva2:1866649/FULLTEXT01.pdf,""
