"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"The Integration of Machine Learning into Automated Test Generation: A
  Systematic Literature Review","https://scispace.com/paper/the-integration-of-machine-learning-into-automated-test-38aak7dw","2022","Posted Content","","","","","Background: Machine learning (ML) may enable effective automated test generation. Aims: We characterize emerging research, examining testing practices, researcher goals, ML techniques applied, evaluation, and challenges. Method: We perform a systematic literature review on a sample of 97 publications. Results: ML generates input for system, GUI, unit, performance, and combinatorial testing or improves the performance of existing generation methods. ML is also used to generate test verdicts, property-based, and expected output oracles. Supervised learning - often based on neural networks - and reinforcement learning - often based on Q-learning - are common, and some publications also employ unsupervised or semi-supervised learning. (Semi-/Un-)Supervised approaches are evaluated using both traditional testing metrics and ML-related metrics (e.g., accuracy), while reinforcement learning is often evaluated using testing metrics tied to the reward function. Conclusions: Work-to-date shows great promise, but there are open challenges regarding training data, retraining, scalability, evaluation complexity, ML algorithms employed - and how they are applied - benchmarks, and replicability. Our findings can serve as a roadmap and inspiration for researchers in this field. ","In this article , the authors characterize emerging research, examining testing practices, researcher goals, ML techniques applied, evaluation, and challenges, and conclude that work-to-date shows great promise, but there are open challenges regarding training data, retraining, scalability, evaluation complexity, ML algorithms employed -and how they are applied - benchmarks, and replicability."
"Machine Learning Testing: Survey, Landscapes and Horizons","https://scispace.com/paper/machine-learning-testing-survey-landscapes-and-horizons-3k25zixq6f","2020","Journal Article","IEEE Transactions on Software Engineering","Jie Zhang
Mark Harman
Lei Ma
Yang Liu","10.1109/TSE.2019.2962027","https://scispace.com/pdf/machine-learning-testing-survey-landscapes-and-horizons-3k25zixq6f.pdf","This paper provides a comprehensive survey of Machine Learning Testing (ML testing) research. It covers 138 papers on testing properties (e.g., correctness, robustness, and fairness), testing components (e.g., the data, learning program, and framework), testing workflow (e.g., test generation and test evaluation), and application scenarios (e.g., autonomous driving, machine translation). The paper also analyses trends concerning datasets, research trends, and research focus, concluding with research challenges and promising research directions in machine learning testing.","A comprehensive survey of machine learning testing can be found in this article, which covers 138 papers on testing properties (e.g., correctness, robustness, and fairness), testing components (i.e., the data, learning program, and framework), testing workflow, and application scenarios."
"Artificial Intelligence in Software Testing: A Systematic Review","https://scispace.com/paper/artificial-intelligence-in-software-testing-a-systematic-21mj85gq1s","2023","Proceedings Article","","Mahmudul Islam
Farhan Khan
Sabrina Alam
Mahady Hasan","10.1109/tencon58879.2023.10322349","","Software testing is a crucial component of software development. With the increasing complexity of software systems, traditional manual testing methods are becoming less feasible. Artificial Intelligence (AI) has emerged as a promising approach to software testing in recent years. This review paper aims to provide an in-depth understanding of the current state of software testing using AI. The review will examine the various approaches, techniques, and tools used in this area and assess their effectiveness. The selected articles for this study have been extracted from different research databases using the advanced search string strategy. Initially, 40 articles have been extracted from different research libraries. After gradual filtering finally, 20 articles have been selected for the study. After studying all the selected papers, we find that various testing tasks can be automated successfully using AI (Machine Learning and Deep Learning) such as Test Case Generation, Defect Prediction, Test Case Prioritization Metamorphic Testing, Android Testing, Test Case Validation, and White Box Testing. This study also finds that the integration of AI in software testing is making software testing activities easier along with better performance. This literature review paper provides a thorough analysis of the impact AI can have on the software testing process.","It is found that various testing tasks can be automated successfully using AI (Machine Learning and Deep Learning) such as Test Case Generation, Defect Prediction, Test Case Prioritization Metamorphic Testing, Android Testing, Test case Validation, and White Box Testing."
"Artificial Intelligence in Software Testing for Emerging Fields: A Review of Technical Applications and Developments","https://scispace.com/paper/artificial-intelligence-in-software-testing-for-emerging-7dfnif315vbk","2024","Journal Article","Applied and Computational Engineering","Yi Ding","10.54254/2755-2721/2025.18116","https://scispace.compdf/artificial-intelligence-in-software-testing-for-emerging-7dfnif315vbk.pdf","The rapid evolution of the Internet industry has transformed software development in emerging fields, making it markedly different from traditional approaches. Consequently, software testing has become increasingly complex. Artificial Intelligence (AI) has introduced innovative technologies and methodologies to software testing, attracting growing research interest in recent years. This study employs a systematic literature review to gather and analyze relevant research on AI applications in software testing over the past four years. Through careful screening, synthesis, and organization of literature, the study provides a detailed analysis of research progress in this field. The review examines 30 carefully selected papers, primarily focusing on the technical advancements and applications of AI in software testing within emerging domains such as cloud technology, autonomous driving, and DevOps. It explores various AI applications in software testing, including test case generation, GUI testing, and defect prediction. As a comprehensive review, this paper summarizes recent progress in AI technology applications for software testing, with particular emphasis on emerging trends. Based on these findings, the study proposes potential research directions and topics, offering valuable insights and laying a foundation for future work in this rapidly evolving field. ","This systematic review of 30 papers explores AI applications in software testing for emerging fields, highlighting technical advancements and applications in cloud technology, autonomous driving, and DevOps, with a focus on test case generation, GUI testing, and defect prediction."
"Automated Software Testing Using Machine Learning: A Systematic Mapping Study","https://scispace.com/paper/automated-software-testing-using-machine-learning-a-4gpv9n8qemmr","2024","Proceedings Article","2018 4th International Conference on Optimization and Applications (ICOA)","Abdellatif Ahammad
Manal El Bajta
Maryam Radgui","10.1109/icoa62581.2024.10754031","","In today's digital world, software quality assurance is a crucial part of the Software Development Life Cycle (SDLC), and automated testing is essential to this effort. This study investigates how machine learning (ML) can augment automated testing by analyzing research from 2006 onward to determine its possible uses, prevalent techniques, and related advantages and disadvantages. Our findings reveal a growing interest in leveraging ML for testing, particularly in tasks like test case generation and user interface validation. Common ML techniques such as symbolic AI, evolutionary algorithms, and deep learning are emerging as the primary methods. ML holds promise for accelerating testing processes, enhancing accuracy, and improving adaptability. However, challenges such as sourcing high-quality training data, understanding complex ML models, and integrating ML with existing tools persist. This study illuminates the transformative potential of ML in testing and provides valuable insights for guiding future research in this dynamic field.","This systematic mapping study explores the application of machine learning in automated software testing, revealing growing interest in leveraging ML for tasks like test case generation and user interface validation, with emerging techniques and challenges."
"Machine Learning Testing: Survey, Landscapes and Horizons","https://scispace.com/paper/machine-learning-testing-survey-landscapes-and-horizons-ubsdrxo2","2022","Journal Article","IEEE Transactions on Software Engineering","","10.1109/tse.2019.2962027","http://arxiv.org/pdf/1906.10742","This paper provides a comprehensive survey of techniques for testing machine learning systems; Machine Learning Testing (ML testing) research. It covers 144 papers on testing properties (e.g., correctness, robustness, and fairness), testing components (e.g., the data, learning program, and framework), testing workflow (e.g., test generation and test evaluation), and application scenarios (e.g., autonomous driving, machine translation). The paper also analyses trends concerning datasets, research trends, and research focus, concluding with research challenges and promising research directions in ML testing. ","A comprehensive survey of techniques for testing machine learning systems; Machine Learning Testing (ML testing) research is provided in this article , which covers 144 papers on testing properties (e.g., correctness, robustness, and fairness), testing components (i.e., the data, learning program, and framework), testing workflow (i., test generation and test evaluation), and application scenarios (e., autonomous driving, machine translation)."
"Machine/Deep Learning for Software Engineering: A Systematic Literature Review","https://scispace.com/paper/machine-deep-learning-for-software-engineering-a-systematic-2glp23fh","2023","Journal Article","IEEE Transactions on Software Engineering","Simin Wang
LiGuo Huang
Amiao Gao
Jidong Ge
Tengfei Zhang
Haitao Feng
Ishna Satyarth
Mingzhu Li
He Zhang
Vincent Ng","10.1109/TSE.2022.3173346","","Since 2009, the deep learning revolution, which was triggered by the introduction of ImageNet, has stimulated the synergy between Software Engineering (SE) and Machine Learning (ML)/Deep Learning (DL). Meanwhile, critical reviews have emerged that suggest that ML/DL should be used cautiously. To improve the applicability and generalizability of ML/DL-related SE studies, we conducted a 12-year Systematic Literature Review (SLR) on 1,428 ML/DL-related SE papers published between 2009 and 2020. Our trend analysis demonstrated the impacts that ML/DL brought to SE. We examined the complexity of applying ML/DL solutions to SE problems and how such complexity led to issues concerning the reproducibility and replicability of ML/DL studies in SE. Specifically, we investigated how ML and DL differ in data preprocessing, model training, and evaluation when applied to SE tasks, and what details need to be provided to ensure that a study can be reproduced or replicated. By categorizing the rationales behind the selection of ML/DL techniques into five themes, we analyzed how model performance, robustness, interpretability, complexity, and data simplicity affected the choices of ML/DL models.","In this article , the authors conducted a 12-year systematic literature review (SLR) on 1,428 ML/DL-related SE papers published between 2009 and 2020, and found that ML and DL differ in data preprocessing, model training, and evaluation when applied to SE tasks, and details need to be provided to ensure that a study can be reproduced or replicated."
"Machine/Deep Learning for Software Engineering: A Systematic Literature Review","https://scispace.com/paper/machine-deep-learning-for-software-engineering-a-systematic-156w2p10","2023","Journal Article","IEEE Transactions on Software Engineering","","10.1109/tse.2022.3173346","","Since 2009, the deep learning revolution, which was triggered by the introduction of ImageNet, has stimulated the synergy between Software Engineering (SE) and Machine Learning (ML)/Deep Learning (DL). Meanwhile, critical reviews have emerged that suggest that ML/DL should be used cautiously. To improve the applicability and generalizability of ML/DL-related SE studies, we conducted a 12-year Systematic Literature Review (SLR) on 1,428 ML/DL-related SE papers published between 2009 and 2020. Our trend analysis demonstrated the impacts that ML/DL brought to SE. We examined the complexity of applying ML/DL solutions to SE problems and how such complexity led to issues concerning the reproducibility and replicability of ML/DL studies in SE. Specifically, we investigated how ML and DL differ in data preprocessing, model training, and evaluation when applied to SE tasks, and what details need to be provided to ensure that a study can be reproduced or replicated. By categorizing the rationales behind the selection of ML/DL techniques into five themes, we analyzed how model performance, robustness, interpretability, complexity, and data simplicity affected the choices of ML/DL models. ","In this article , the authors conducted a 12-year systematic literature review (SLR) on 1,428 ML/DL-related SE papers published between 2009 and 2020, and found that ML and DL differ in data preprocessing, model training, and evaluation when applied to SE tasks, and details need to be provided to ensure that a study can be reproduced or replicated."
"A Systematic Literature Review on the Use of Deep Learning in Software Engineering Research","https://scispace.com/paper/a-systematic-literature-review-on-the-use-of-deep-learning-6zquztxx","2022","Journal Article","ACM Transactions on Software Engineering and Methodology","","10.1145/3485275","https://scispace.com/pdf/a-systematic-literature-review-on-the-use-of-deep-learning-6zquztxx.pdf","An increasingly popular set of techniques adopted by software engineering (SE) researchers to automate development tasks are those rooted in the concept of Deep Learning (DL). The popularity of such techniques largely stems from their automated feature engineering capabilities, which aid in modeling software artifacts. However, due to the rapid pace at which DL techniques have been adopted, it is difficult to distill the current successes, failures, and opportunities of the current research landscape. In an effort to bring clarity to this cross-cutting area of work, from its modern inception to the present, this article presents a systematic literature review of research at the intersection of SE &amp; DL. The review canvasses work appearing in the most prominent SE and DL conferences and journals and spans 128 papers across 23 unique SE tasks. We center our analysis around the components of learning , a set of principles that governs the application of machine learning techniques (ML) to a given problem domain, discussing several aspects of the surveyed work at a granular level. The end result of our analysis is a research roadmap that both delineates the foundations of DL techniques applied to SE research and highlights likely areas of fertile exploration for the future. ","In this paper , a systematic literature review of research at the intersection of software engineering and deep learning is presented, focusing on the components of learning, a set of principles that governs the application of machine learning techniques (ML) to a given problem domain."
"AI-Driven and Autonomous Testing","https://scispace.com/paper/ai-driven-and-autonomous-testing-5nue32kamqll","2024","Journal Article","","Elavarasi Kesavan","10.55041/isjem01651","","Abstract
The rapid advancements in artificial intelligence (AI) have brought transformative changes to various sectors, culminating in innovative approaches to software testing (Shuroug A Alowais et al.; Nazir A et al., p. 111661-111661). The escalating complexity of software systems necessitates efficient testing methods, propelling the adoption of AI-driven and autonomous testing paradigms (Hassija V et al., p. 45-74; Armstrong M et al., p. 1001-1029). This paper provides a comprehensive systematic review of AI's integration into testing processes, employing rigorous methodology to examine current literature and industry practices. Through analysis of 50+ peer-reviewed sources and quantitative case studies from industry implementations, we demonstrate that AI can potentially reduce testing time by up to 50% while simultaneously increasing defect detection rates by 35% (Allioui H et al., p. 8015-8015; Chan CKY). The study introduces a structured implementation framework for organizations adopting AI-driven testing and presents a comparative analysis of machine learning techniques in testing applications (Ali S et al., p. 101805-101805; Yogesh K Dwivedi et al., p. 102642-102642). Key findings indicate that organizations implementing AI-driven testing report 40% reduction in time-to-market and 30% decrease in critical bugs reaching production (Karalis V, p. 14-44; Saeed W et al., p. 110273-110273). However, challenges related to data bias, model interpretability, and workforce adaptation remain significant (Elahi M et al.; Singh BJ et al., p. 119230-119230; Luo Y et al., p. 5211-5295). This research contributes to the field by identifying specific research gaps and providing evidence-based recommendations for practitioners transitioning from traditional to autonomous testing methodologies","This systematic review integrates AI into testing processes, demonstrating a 50% reduction in testing time and 35% increase in defect detection rates, while highlighting challenges and providing a structured implementation framework for AI-driven testing adoption."
