Paper Title,Relevance,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Abstract
AI-Driven and Autonomous Testing,"- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Provides a systematic 2020‑2024 review of AI testing evolution, compares ML techniques, identifies research gaps, includes industry case data, but lacks single‑model limitation discussion.",https://scispace.com/paper/ai-driven-and-autonomous-testing-5nue32kamqll,2024,Journal Article,"",Elavarasi Kesavan,10.55041/isjem01651,"","Abstract
The rapid advancements in artificial intelligence (AI) have brought transformative changes to various sectors, culminating in innovative approaches to software testing (Shuroug A Alowais et al.; Nazir A et al., p. 111661-111661). The escalating complexity of software systems necessitates efficient testing methods, propelling the adoption of AI-driven and autonomous testing paradigms (Hassija V et al., p. 45-74; Armstrong M et al., p. 1001-1029). This paper provides a comprehensive systematic review of AI's integration into testing processes, employing rigorous methodology to examine current literature and industry practices. Through analysis of 50+ peer-reviewed sources and quantitative case studies from industry implementations, we demonstrate that AI can potentially reduce testing time by up to 50% while simultaneously increasing defect detection rates by 35% (Allioui H et al., p. 8015-8015; Chan CKY). The study introduces a structured implementation framework for organizations adopting AI-driven testing and presents a comparative analysis of machine learning techniques in testing applications (Ali S et al., p. 101805-101805; Yogesh K Dwivedi et al., p. 102642-102642). Key findings indicate that organizations implementing AI-driven testing report 40% reduction in time-to-market and 30% decrease in critical bugs reaching production (Karalis V, p. 14-44; Saeed W et al., p. 110273-110273). However, challenges related to data bias, model interpretability, and workforce adaptation remain significant (Elahi M et al.; Singh BJ et al., p. 119230-119230; Luo Y et al., p. 5211-5295). This research contributes to the field by identifying specific research gaps and providing evidence-based recommendations for practitioners transitioning from traditional to autonomous testing methodologies"
The Integration of Machine Learning into Automated Test Generation: A Systematic Literature Review,"- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ML (neural nets, RL) for test generation, maps evolution from classic automation; systematic review of 97 papers (2020‑2022); categorizes techniques but lacks direct head‑to‑head AI comparisons; clearly lists research gaps and future work; does not present industry case studies; does not focus on single‑model vs multi‑model limitations.",https://scispace.com/paper/the-integration-of-machine-learning-into-automated-test-34km4bwx,"",Journal Article,arXiv.org,"Afonso Fontes
Gregory Gay",10.48550/arXiv.2206.10210,"","Context: Machine learning (ML) may enable effective automated test generation. Objectives: We characterize emerging research, examining testing practices, researcher goals, ML techniques applied, evaluation, and challenges. Methods: We perform a systematic literature review on a sample of 97 publications. Results: ML generates input for system, GUI, unit, performance, and combinatorial testing or improves the performance of existing generation methods. ML is also used to generate test verdicts, property-based, and expected output oracles. Supervised learning—often based on neural networks—and reinforcement learning—often based on Q-learning—are common, and some publications also employ unsupervised or semi-supervised learning. (Semi-/Un-)Supervised approaches are evaluated using both traditional testing metrics and ML-related metrics (e.g., accuracy), while reinforcement learning is often evaluated using testing metrics tied to the reward function. Conclusion: Work-to-date shows great promise, but there are open challenges regarding training data, retraining, scalability, evaluation complexity, ML algorithms employed—and how they are applied—benchmarks, and replicability. Our findings can serve as a roadmap and inspiration for researchers in this field."
AI-powered software testing tools: A systematic review and empirical assessment of their features and limitations,"- **Relevance Score:** 72/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses systematic review to map AI testing evolution, covers 2020‑2024 literature, highlights research gaps, mentions several AI tools, but lacks deep side‑by‑side performance comparison and detailed industry case studies; does not discuss single‑model vs. multi‑model strategies.",https://scispace.com/paper/pAjoxoc0NbwJ,"","","","V Garousi
N Joy
Z Jafarov
AB Keleş","",https://arxiv.org/pdf/2409.00411,""
"The Integration of Machine Learning into Automated Test Generation: A
  Systematic Mapping Study","- **Relevance Score:** 71/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Provides a thorough 2020‑2022 survey of ML techniques (RL, supervised, clustering) for test generation, highlights gaps, but lacks direct performance comparisons and industry case studies.",https://scispace.com/paper/the-integration-of-machine-learning-into-automated-test-30ukob8v,2022,Posted Content,"","",10.48550/arxiv.2206.10210,https://scispace.com/pdf/the-integration-of-machine-learning-into-automated-test-30ukob8v.pdf,"Context: Machine learning (ML) may enable effective automated test generation. Objective: We characterize emerging research, examining testing practices, researcher goals, ML techniques applied, evaluation, and challenges. Methods: We perform a systematic mapping on a sample of 102 publications. Results: ML generates input for system, GUI, unit, performance, and combinatorial testing or improves the performance of existing generation methods. ML is also used to generate test verdicts, property-based, and expected output oracles. Supervised learning - often based on neural networks - and reinforcement learning - often based on Q-learning - are common, and some publications also employ unsupervised or semi-supervised learning. (Semi-/Un-)Supervised approaches are evaluated using both traditional testing metrics and ML-related metrics (e.g., accuracy), while reinforcement learning is often evaluated using testing metrics tied to the reward function. Conclusion: Work-to-date shows great promise, but there are open challenges regarding training data, retraining, scalability, evaluation complexity, ML algorithms employed - and how they are applied - benchmarks, and replicability. Our findings can serve as a roadmap and inspiration for researchers in this field. "
"The Integration of Machine Learning into Automated Test Generation: A
  Systematic Mapping Study","- **Relevance Score:** 71/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses reinforcement learning, supervised and unsupervised ML for test generation; systematic mapping of 2020‑2022 literature; reports technique frequencies but lacks direct performance comparison; highlights research gaps and future work; no industry case studies; does not discuss single‑model vs multi‑model limitations.",https://scispace.com/paper/the-integration-of-machine-learning-into-automated-test-30ukob8v,2022,Posted Content,"","",10.48550/arxiv.2206.10210,https://scispace.com/pdf/the-integration-of-machine-learning-into-automated-test-30ukob8v.pdf,"Context: Machine learning (ML) may enable effective automated test generation. Objective: We characterize emerging research, examining testing practices, researcher goals, ML techniques applied, evaluation, and challenges. Methods: We perform a systematic mapping on a sample of 102 publications. Results: ML generates input for system, GUI, unit, performance, and combinatorial testing or improves the performance of existing generation methods. ML is also used to generate test verdicts, property-based, and expected output oracles. Supervised learning - often based on neural networks - and reinforcement learning - often based on Q-learning - are common, and some publications also employ unsupervised or semi-supervised learning. (Semi-/Un-)Supervised approaches are evaluated using both traditional testing metrics and ML-related metrics (e.g., accuracy), while reinforcement learning is often evaluated using testing metrics tied to the reward function. Conclusion: Work-to-date shows great promise, but there are open challenges regarding training data, retraining, scalability, evaluation complexity, ML algorithms employed - and how they are applied - benchmarks, and replicability. Our findings can serve as a roadmap and inspiration for researchers in this field. "
Machine learning algorithms for automated software testing: A comprehensive review of current trends and challenges,"- **Relevance Score:** 67/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Provides a comprehensive 2020‑2024 survey of ML/DL in testing, outlines future challenges, but lacks detailed comparative results, industry case data, and discussion of single‑model limits.",https://scispace.com/paper/0zL1EAgYIMUJ,"","","","S Pargaonkar
R Ranjan","",https://works.hcommons.org/records/t8e0t-89p08/files/new-the-algorithmic-odyssey-a-comprehensive-guide-to-ai-research-197-212.pdf,""
An examination of the integration of artificial intelligence techniques in software testing: A comparative analysis,"- **Relevance Score:** 61/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses AI techniques (ML/DL) to trace testing evolution; compares neural‑network and transformer test generators with results; outlines research gaps; lacks industry case data; briefly mentions single‑model limits.",https://scispace.com/paper/yTpxydt0ZlYJ,"","","",S Pargaonkar,"",https://works.hcommons.org/records/sha0s-13q34/files/new-algorithms-of-intelligence-exploring-the-world-of-machine-learning-182-196.pdf,""
The role of ai in software test automation - a systematic literature review,"- **Relevance Score:** 57/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses AI methods (ML, neural nets, genetic algorithms) to discuss test automation evolution; systematic review covering 2020‑2024; identifies research gaps and future directions; lacks direct comparative AI approach analysis, real‑world adoption data, and discussion of single‑model vs multi‑model strategies.",https://scispace.com/paper/the-role-of-ai-in-software-test-automation-a-systematic-r1u2ahgnic31,2024,Journal Article,"","R. M. S. Ranapana
Janaka Wijayanayake",10.64920/drc2024032,"","Artificial Intelligence (AI) has emerged as a transformative force in software test automation, enhancing the efficiency, accuracy, and reliability of testing processes. This systematic literature review investigates the role of AI in software test automation, focusing on key methodologies, applications, and challenges faced in its implementation. The review aims to identify and analyze the various AI-driven techniques such as Machine Learning (ML), Neural Networks, and Genetic Algorithms that are being utilized to optimize testing activities, including test case generation, defect detection, and test execution. The findings reveal that AI can significantly improve the software testing lifecycle by automating repetitive tasks, reducing human error, and increasing test coverage. By leveraging AI algorithms, organizations can achieve faster turnaround times and enhance the overall quality of software products. Moreover, AI facilitates predictive analytics, allowing teams to identify potential defects early in the development process, thus minimizing costs and time associated with late-stage bug fixes. However, the review also highlights several challenges that hinder the widespread adoption of AI in software testing. Issues such as data quality, model overfitting, and the complexity of integrating AI solutions with existing testing frameworks present significant barriers. Additionally, many AI applications remain largely theoretical or are limited to academic research, lacking real-world implementation. The insights gained from this review are invaluable for both researchers and practitioners seeking to harness the capabilities of AI to revolutionize software testing practices. By addressing the identified challenges and fostering collaboration between academia and industry, stakeholders can develop more robust frameworks and models that leverage AI's potential to create a more efficient and effective software testing environment. "
A Systematic Review of AI Based Software Test Case Optimization,"- **Relevance Score:** 56/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Systematic review of AI‑fuzzing methods, identifies research gaps, but lacks detailed comparative results, evolutionary context, and real‑world industry evidence.",https://scispace.com/paper/a-systematic-review-of-ai-based-software-test-case-6kh5vq53xlqy,2024,Journal Article,INTERNATIONAL RESEARCH JOURNAL OF MULTIDISCIPLINARY SCOPE,Mani Padmanabhan,10.47857/irjms.2024.v05i04.01451,https://www.irjms.com/wp-content/uploads/2024/10/Manuscript_IRJMS_01451_WS.pdf,"Software test case optimization for real-time systems is a vulnerability detection methodology that assesses the resilience of targeted programs by subjecting them to irregular input data. As the volume, size, and intricacy of software continue to escalate, conventional manual test case generation has encountered challenges like insufficient logical coverage, minimal automation levels, and inadequate test scenarios. These difficulties underscore the need for innovative approaches that maximize software dependability and performance. An artificial intelligence powered fuzzing technique, which exhibits remarkable proficiency in data analysis and classification prediction. This paper examines the recent advancements in fuzzing research and conducts a comprehensive review of artificial intelligence driven fuzzing approaches in software test cases optimization. The major review explains the test case validation workflow and discusses the optimization of distinct phases within fuzzing utilizing in the software testing. Particular emphasis is placed on the implementation of artificial intelligence in the following software testing phases. This process involves position selection, which includes organizing and cleaning data; generating test cases that cover different inputs and expected outputs; selecting fuzzy input values for testing edge cases; validating the results of each test case to ensure accuracy and reliability. Finally, it synthesizes the obstacles and complexities associated with integrating artificial intelligence into software test case optimization techniques and anticipate potential future directions in the software testing. "
The integration of machine learning into automated test generation: A systematic mapping study,"- **Relevance Score:** 55/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses ML (neural nets, RL) to generate tests, mapping study of 124 papers (2020‑2022). Identifies challenges and future work. Lacks direct AI‑approach comparisons, industry case data, and explicit single‑model vs multi‑model discussion.",https://scispace.com/paper/the-integration-of-machine-learning-into-automated-test-1a04w6sf,2022,Journal Article,"Software Testing, Verification & Reliability","Afonso Fontes
Gregory Gay",10.1002/stvr.1845,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/stvr.1845,"Machine learning (ML) may enable effective automated test generation. We characterize emerging research, examining testing practices, researcher goals, ML techniques applied, evaluation, and challenges in this intersection by performing. We perform a systematic mapping study on a sample of 124 publications. ML generates input for system, GUI, unit, performance, and combinatorial testing or improves the performance of existing generation methods. ML is also used to generate test verdicts, property‐based, and expected output oracles. Supervised learning—often based on neural networks—and reinforcement learning—often based on Q‐learning—are common, and some publications also employ unsupervised or semi‐supervised learning. (Semi‐/Un‐)Supervised approaches are evaluated using both traditional testing metrics and ML‐related metrics (e.g., accuracy), while reinforcement learning is often evaluated using testing metrics tied to the reward function. The work‐to‐date shows great promise, but there are open challenges regarding training data, retraining, scalability, evaluation complexity, ML algorithms employed—and how they are applied—benchmarks, and replicability. Our findings can serve as a roadmap and inspiration for researchers in this field."
