Paper Title,Relevance,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Abstract
Synergistic minds: A collaborative multi-agent framework for integrated AI tool development using diverse large language models,"- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses multi-agent LLM orchestration with specialized models; outperforms single-model baselines; evaluates code generation/unit tests; notes complementary agents; discusses scalability; no diversity theory.",https://scispace.com/paper/synergistic-minds-a-collaborative-multi-agent-framework-for-xiglxbpb9nn1,2025,Journal Article,World Journal Of Advanced Research and Reviews,Arpan Shaileshbhai Korat,10.30574/wjarr.2025.27.2.1806,"","This paper introduces an innovative multi-agent framework for integrated AI tool development that unifies diverse large language models (LLMs) into a cohesive system capable of addressing multifaceted tasks. Unlike conventional monolithic AI systems, our approach dynamically decomposes complex queries and routes them to specialized agents, including models fine-tuned for summarization, translation, code generation, and domain-specific analysis, that collaborate through a centralized orchestration layer. This orchestration not only coordinates inter- agent communication via a shared memory module but also integrates user feedback via a reinforcement learning loop for continuous system improvement. A comprehensive case study in research assistance demonstrates that our system outperforms single-model baselines in both quantitative metrics (e.g., ROUGE, BLEU, unit test accuracy) and qualitative user satisfaction. In addition, we discuss technical challenges, scalability issues, and future directions. "
XUAT-Copilot: Multi-Agent Collaborative System for Automated User Acceptance Testing with Large Language Model,"- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses three LLM agents for collaborative UAT test script generation, shows significant Pass@1 gains over a single-agent baseline, provides quantitative software‑engineering results, mentions modest improvement reasons but lacks deep analysis of complementary strengths, diversity, or formal scalability discussion.",https://scispace.com/paper/xuat-copilot-multi-agent-collaborative-system-for-automated-4axckyawm5,2024,Journal Article,arXiv.org,"Zhitao Wang
Wei Wang
Zirao Li
Long Wang
Can Yi
Xinjie Xu
Luyang Cao
Hanjing Su
Shouzhi Chen
Jun Zhou",10.48550/arxiv.2401.02705,"","In past years, we have been dedicated to automating user acceptance testing (UAT) process of WeChat Pay, one of the most influential mobile payment applications in China. A system titled XUAT has been developed for this purpose. However, there is still a human-labor-intensive stage, i.e, test scripts generation, in the current system. Therefore, in this paper, we concentrate on methods of boosting the automation level of the current system, particularly the stage of test scripts generation. With recent notable successes, large language models (LLMs) demonstrate significant potential in attaining human-like intelligence and there has been a growing research area that employs LLMs as autonomous agents to obtain human-like decision-making capabilities. Inspired by these works, we propose an LLM-powered multi-agent collaborative system, named XUAT-Copilot, for automated UAT. The proposed system mainly consists of three LLM-based agents responsible for action planning, state checking and parameter selecting, respectively, and two additional modules for state sensing and case rewriting. The agents interact with testing device, make human-like decision and generate action command in a collaborative way. The proposed multi-agent system achieves a close effectiveness to human testers in our experimental studies and gains a significant improvement of Pass@1 accuracy compared with single-agent architecture. More importantly, the proposed system has launched in the formal testing environment of WeChat Pay mobile app, which saves a considerable amount of manpower in the daily development work."
MAS-ZERO: Designing Multi-Agent Systems with Zero Supervision,"- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** MAS-ZERO offers a self‑evolving multi‑agent LLM system with strong software‑engineering results and cost‑efficiency, but lacks detailed analysis of complementary strengths or test‑generation gains.",https://scispace.com/paper/mas-zero-designing-multi-agent-systems-with-zero-supervision-u986mpai53wh,2025,Journal Article,"","Zixuan Ke
Austin Xu
Yifei Ming
Xuan-Phi Nguyen
Caiming Xiong
Shafiq Joty",10.48550/arxiv.2505.14996,"","Multi-agent systems (MAS) leveraging the impressive capabilities of Large Language Models (LLMs) hold significant potential for tackling complex tasks. However, most current MAS depend on manually designed agent roles and communication protocols. These manual designs often fail to align with the underlying LLMs' strengths and struggle to adapt to novel tasks. Recent automatic MAS approaches attempt to mitigate these limitations but typically necessitate a validation set for tuning and yield static MAS designs lacking adaptability during inference. We introduce MAS-ZERO, the first self-evolved, inference-time framework for automatic MAS design. MAS-ZERO employs meta-level design to iteratively generate, evaluate, and refine MAS configurations tailored to each problem instance, without requiring a validation set. Critically, it enables dynamic agent composition and problem decomposition through meta-feedback on solvability and completeness. Experiments across math, graduate-level QA, and software engineering benchmarks, using both closed-source and open-source LLM backbones of varying sizes, demonstrate that MAS-ZERO outperforms both manual and automatic MAS baselines, achieving a 7.44% average accuracy improvement over the next strongest baseline while maintaining cost-efficiency. These findings underscore the promise of meta-level self-evolved design for creating effective and adaptive MAS. "
"Diversity Empowers Intelligence: Integrating Expertise of Software
  Engineering Agents","- **Relevance Score:** 73/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Shows diverse SWE agents improve bug-fixing on SWE‑Bench via hierarchical collaboration and ensemble, but lacks explicit complementary strength analysis, test‑generation results, and scalability discussion.",https://scispace.com/paper/diversity-empowers-intelligence-integrating-expertise-of-1o7imaudjbdd,2024,Journal Article,"","Kexun Zhang
Weiran Yao
Zuxin Liu
Yihao Feng
Zhi‐Wei Liu
Rithesh Murthy
Tian Lan
Lei Li
Renze Lou
Jiacheng Xu
Pang Bo
Yingbo Zhou
Shelby Heinecke
Silvio Savarese
Huan Wang
Caiming Xiong",10.48550/arxiv.2408.07060,https://scispace.compdf/diversity-empowers-intelligence-integrating-expertise-of-1o7imaudjbdd.pdf,"Large language model (LLM) agents have shown great potential in solving real-world software engineering (SWE) problems. The most advanced open-source SWE agent can resolve over 27% of real GitHub issues in SWE-Bench Lite. However, these sophisticated agent frameworks exhibit varying strengths, excelling in certain tasks while underperforming in others. To fully harness the diversity of these agents, we propose DEI (Diversity Empowered Intelligence), a framework that leverages their unique expertise. DEI functions as a meta-module atop existing SWE agent frameworks, managing agent collectives for enhanced problem-solving. Experimental results show that a DEI-guided committee of agents is able to surpass the best individual agent's performance by a large margin. For instance, a group of open-source SWE agents, with a maximum individual resolve rate of 27.3% on SWE-Bench Lite, can achieve a 34.3% resolve rate with DEI, making a 25% improvement and beating most closed-source solutions. Our best-performing group excels with a 55% resolve rate, securing the highest ranking on SWE-Bench Lite. Our findings contribute to the growing body of research on collaborative AI systems and their potential to solve complex software engineering challenges. "
Automated Summarization of Software Documents: An LLM-based Multi-Agent Approach,"- **Relevance Score:** 72/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses a Teacher‑Student multi‑agent LLM to summarize software docs, outperforming single‑model baselines; evaluates on SE documentation tasks; mentions complementary agent roles and diversity but lacks detailed analysis of heterogeneity, test‑generation, theory, or deep scalability discussion.",https://scispace.com/paper/automated-summarization-of-software-documents-an-llm-based-4o1kygxeu7ff,2025,Journal Article,"","Dan Phuoc Nguyen
Minh T. Nguyen
Phuong T. Nguyen
Juri Di Rocco
Davide Di Ruscio",10.21203/rs.3.rs-7539426/v1,https://scispace.compdf/automated-summarization-of-software-documents-an-llm-based-4o1kygxeu7ff.pdf,"<title>Abstract</title> Large Language Models (LLMs) and LLM-based Multi-Agent Sys-tems (MAS) are revolutionizing software engineering (SE) by advancing automation, decision-making, and knowledge processing. Their recent application to SE tasks has already shown promising results. In this paper, we focus on summarization as a key application area. We present Metagente, an LLM-based MAS designed to generate concise and accurate summaries ofsoftware documentation. Metagente employs a Teacher–Student architecture where multiple LLM agents collaborate to enhance relevance and precision of produced summaries. An empirical evaluation on real-world datasets demonstrates Metagente’s effectiveness in streamlining workflows, outperforming theconsidered baselines. The evaluation provides evidence that Metagente improves summarization for requirements analysis and technical documentation. Our findings underscore the transformative potential of these technologies inSE, while identifying challenges and future research directions for their seamless integration. "
"Ensemble Learning for Large Language Models in Text and Code Generation:
  A Survey","- **Relevance Score:** 71/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Surveys LLM ensemble methods, detailing multi‑model collaboration, performance gains, and diversity concepts; lacks original software‑engineering experiments or formal theory.",https://scispace.com/paper/http://arxiv.org/abs/2503.13505v2,2025,Preprint,"","Mari Ashiga
Wei Jie
Fan Wu
Vardan Voskanyan
Fateme Dinmohammadi
Paul Brookes
Jingzhi Gong
Zheng Wang","",http://arxiv.org/pdf/2503.13505v2,"Generative Pretrained Transformers (GPTs) are foundational Large Language
Models (LLMs) for text generation. However, individual LLMs often produce
inconsistent outputs and exhibit biases, limiting their representation of
diverse language patterns. The closed-source nature of many powerful LLMs
further restricts industry applications due to data privacy concerns. Inspired
by successes in text generation, LLM ensemble techniques are now increasingly
explored for code generation. This article reviews these emerging ensemble
approaches to enhance understanding, encourage further research, and promote
practical implementation in both text and code generation. We categorize LLM
ensembles into seven main methods - weight merging, knowledge fusion,
mixture-of-experts, reward ensemble, output ensemble, routing, and cascading -
analyzing capabilities of those approaches. Our findings highlight key benefits
such as improved diversity representation, enhanced output quality, and greater
application flexibility. These insights aid model selection for real-world
tasks and crucially, lay groundwork for extending ensemble strategies to
multimodal LLMs."
Trae agent: An llm-based agent for software engineering with test-time scaling,"- **Relevance Score:** 71/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Highly Relevant: Demonstrates ensemble outperforms single LLMs on software‑engineering benchmarks, especially test generation, and details complementary strengths of each model. Somewhat Relevant: Employs multiple LLMs as agents but collaboration is limited; discusses diversity without deep wisdom‑of‑crowds validation; mentions scalability but lacks formal resource analysis.",https://scispace.com/paper/wNl-NIdTw1wJ,"","","","Y Xiong
C Peng
X Liu
Trae Research Team","",https://arxiv.org/pdf/2507.23370?,""
Multi-Agent Software Development through Cross-Team Collaboration,"- **Relevance Score:** 56/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Introduces a cross‑team LLM framework that improves software generation quality and discusses scalability, but does not address model‑specific complementarity or test‑generation benchmarks.",https://scispace.com/paper/multi-agent-software-development-through-cross-team-26op4rp0h3,2024,Preprint,"","Zhuoyun Du
Chen Qian
Wei Liu
Zihao Xie
Yifei Wang
Yalong Dang
Weize Chen
Cheng Yang",10.48550/arxiv.2406.08979,https://scispace.compdf/multi-agent-software-development-through-cross-team-26op4rp0h3.pdf,"The latest breakthroughs in Large Language Models (LLMs), eg., ChatDev, have catalyzed profound transformations, particularly through multi-agent collaboration for software development. LLM agents can collaborate in teams like humans, and follow the waterfall model to sequentially work on requirements analysis, development, review, testing, and other phases to perform autonomous software generation. However, for an agent team, each phase in a single development process yields only one possible outcome. This results in the completion of only one development chain, thereby losing the opportunity to explore multiple potential decision paths within the solution space. Consequently, this may lead to obtaining suboptimal results. To address this challenge, we introduce Cross-Team Collaboration (CTC), a scalable multi-team framework that enables orchestrated teams to jointly propose various decisions and communicate with their insights in a cross-team collaboration environment for superior content generation. Experimental results in software development reveal a notable increase in quality compared to state-of-the-art baselines, underscoring the efficacy of our framework. The significant improvements in story generation demonstrate the promising generalization ability of our framework across various domains. We anticipate that our work will guide LLM agents towards a cross-team paradigm and contribute to their significant growth in but not limited to software development. The code and data will be available at https://github.com/OpenBMB/ChatDev. "
Large Language Models-Based Agents in Software Development,"- **Relevance Score:** 56/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses multi-agent LLMs to support requirements, coding, and testing phases, showing collaborative workflows and software‑engineering experiments. Mentions combining agents and complementary abilities, but lacks concrete ensemble benchmarks, test‑generation results, formal diversity theory, or detailed scalability analysis.",https://scispace.com/paper/-9gGZ_GH7M4J,"","","",AJ Asunmaa,"",https://aaltodoc.aalto.fi/bitstreams/ab7865f2-2fbc-4a66-b161-82b9e61288fc/download,""
"Diversity Empowers Intelligence: Integrating Expertise of Software
  Engineering Agents","- **Relevance Score:** 55/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses diverse SWE agents and hierarchical ensembling to improve bug‑fixing on SWE‑Bench, showing some ensemble gains and diversity analysis, but lacks multiple distinct LLMs, test‑generation results, and detailed scalability discussion.",https://scispace.com/paper/diversity-empowers-intelligence-integrating-expertise-of-1o7imaudjbdd,2024,Journal Article,"","Kexun Zhang
Weiran Yao
Zuxin Liu
Yihao Feng
Zhi‐Wei Liu
Rithesh Murthy
Tian Lan
Lei Li
Renze Lou
Jiacheng Xu
Pang Bo
Yingbo Zhou
Shelby Heinecke
Silvio Savarese
Huan Wang
Caiming Xiong",10.48550/arxiv.2408.07060,https://scispace.compdf/diversity-empowers-intelligence-integrating-expertise-of-1o7imaudjbdd.pdf,"Large language model (LLM) agents have shown great potential in solving real-world software engineering (SWE) problems. The most advanced open-source SWE agent can resolve over 27% of real GitHub issues in SWE-Bench Lite. However, these sophisticated agent frameworks exhibit varying strengths, excelling in certain tasks while underperforming in others. To fully harness the diversity of these agents, we propose DEI (Diversity Empowered Intelligence), a framework that leverages their unique expertise. DEI functions as a meta-module atop existing SWE agent frameworks, managing agent collectives for enhanced problem-solving. Experimental results show that a DEI-guided committee of agents is able to surpass the best individual agent's performance by a large margin. For instance, a group of open-source SWE agents, with a maximum individual resolve rate of 27.3% on SWE-Bench Lite, can achieve a 34.3% resolve rate with DEI, making a 25% improvement and beating most closed-source solutions. Our best-performing group excels with a 55% resolve rate, securing the highest ranking on SWE-Bench Lite. Our findings contribute to the growing body of research on collaborative AI systems and their potential to solve complex software engineering challenges. "
